,src,true_meaning,literal_translation,predicted
1262,听其自然,Leave (things) to chance,Let it be,To see the world through rose-tinted glasses
1263,听其言而观其行,Judge people by their deeds not just by their words,Listen to what he says and watch what he does,4) Actions speak louder than words
1264,听之任之,Let one have one's own way,Leave it alone,Kill two birds with one stone
1265,肺腑之言,Words from the bottom of one's heart,Words from the Heart,Cut to the quick
1266,背道而驰,Run counter to,Run in the opposite direction,<English idiom> (with a brief explanation)
1267,背城借一,Put up a desperate struggle,Borrow one from behind the city,Stage-1 output (definition + candidates):
1268,胡思乱想,Let one's imagination run away with him,Have a bee in one's bonnet,Definition: <definition of the Chinese idiom>
1269,胸中有数,Have a good idea of how things stand,Number in chest,Amateur
1270,胸中无数,Have no idea of how things stand,Countless in the chest,2) To have a multitude of options.
1271,能上能下,Be ready to work both at the top or at the grass roots,Can go up and down,Jack of all trades
1272,能文能武,Capable of handling both military and civilian affairs,Capable of writing and martial arts,<idiom 1> and <idiom 2> (if two idioms are equally relevant)
1273,脚踏两只船,Have a foot in either camp,Pedal two boats,Candidates: <list the other English idioms>
1274,脚踏实地,Earnest and down-to-earth,Down to earth,To have one's feet on the ground
1275,脑满肠肥,Heavy-jowled and potbellied - the idle rich,Brain full of fat,Definition: <define the Chinese idiom>
1276,腹背受敌,Be attacked from all sides,Enemy on the back,Between Scylla and Charybdis
1277,膏粱子弟,Good-for-nothing sons of the idle rich,Gao Liang's disciples,1) Born with a silver spoon in one's mouth
1278,胆战心惊,Strike terror into the heart of,Tremble with fear,<select the most relevant English idiom>
1279,临渴掘井,Do a thing at the 11th hour,Digging a well when thirsty,Close the stable door after the horse has bolted.
1280,临阵磨枪,Start to prepare only at the last moment,Sharpening the gun,"Train hard, fight easy."
1281,临危不惧,Remain calm in the face of a crisis,Don't be afraid of danger,Every now and then
1282,临渊羡鱼，不如归而结网,One should take practical steps to achieve one's aims,"Linyuan is envious of fish, it is better to go home and make a net",Definition: <definition of the Chinese idiom>
1283,自讨苦吃,Do something which will only cause trouble to oneself,Asking for trouble,Optional: <list other English idioms that are similar but not as relevant>
1284,自掘坟墓,Bring ruin upon oneself,Digging one's own grave,3) Dig one's own grave
1285,自取其咎,Have only oneself to blame,Blame it on yourself,To gild the lily.
1286,自行其是,Go one's own way,On its own,Blind to the obvious
1287,自寻烦恼,Bring vexation on oneself,Asking for trouble,Explanation:
1288,自食其果,Face the consequences of one's action,Eat your own fruit,You are what you eat
1289,自食其言,Break one's own promise,Eat your own words,2) Talk the talk but not walk the walk
1290,自作聪明,Think oneself clever,Make yourself smart,4) <optional fourth idiom>
1291,自言自语,Keep on chattering though to one is listening,Talking to oneself,Alternatives:
1292,自我吹嘘,Boast smugly,Brag about oneself,<English idiom>
1293,至死不变,Constant till death,Unchanging till death,Stage-1 output (definition + candidates):
1294,与虎谋皮,Ask a tiger for its hide,Scheming with tigers,To make a deal with the devil.
1295,与日俱增,Be steadily on the increase,Increasing day by day,Candidates: <list the other English idioms>
1296,与人为善,Do good for people,Be kind to people,4) <optional>
1297,兴师问罪,Send a punitive expedition against,Xingshi to ask guilt,1) Call in the cavalry
1298,举不胜举,Too numerous to mention,Too many to mention,1) The list of accolades is endless.
1299,举国上下,The whole nation,The whole country,4) <optional fourth idiom>
1300,举一反三,Infer other things from one fact,Learn by analogy,To throw the baby out with the bathwater
1301,旧地重游,Revisit a once familiar place,Revisiting old places,In a state of bedlam
1302,旧恨新仇,New hatred piled on old,Old hatred new hatred,A bitter pill to swallow
1303,舌敝唇焦,"Wear oneself out in pleading, expostulating, etc",Tongue and lip burn,2) Cut to the quick
1304,舞文弄墨,Indulge in fancy writing,Dance with ink,Others: <list the other English idioms that are somewhat similar>
1305,良药苦口,Good medicine tastes bitter,Good medicine is bitter,A bitter pill to swallow
1306,良药苦口利于病，忠言逆耳利于行,"Just as bitter medicine cures sickness, so unpalatable advice benefits conduct","Good medicine tastes bitter, unpalatable advice help line",1) <candidate 1>
1307,艰难曲折,Arduous and tortuous,Difficult twists and turns,A bumpy road
1308,色厉内荏,Be tough-looking outside but really timid within,Color Li Nei,"A tough exterior, a soft interior"
1309,芒刺在背,Feel nervous and uneasy,Thorn on the back,2) A thorn in one's side
1310,花天酒地,Indulge in gay life and debauchery,Spend the day,4) <optional other idioms>
1311,若要人不知，除非己莫为,The only way to keep people from knowing something is not to do it,"If you don't know, you have to do it yourself",2) Talk the talk but not walk the walk.  ####
1312,若有所失,Feel lost,If something is lost,Don't put all your eggs in one basket.
1313,若无其事,Calmly,If nothing happened,<English idiom>
1314,苦海无边，回头是岸,Escape from the human world of woes and find salvation,"The sea of suffering is boundless, turning back is the shore","When the going gets tough, the tough get going"
1315,英雄所见略同,Great minds think alike,Heroes see the same,2) Great minds think alike.
1316,英雄无用武之地,No scope for one's energies,Heroes are useless,A fish out of water
1317,茁壮成长,Grow up healthy and strong,Growing up healthily,In full bloom
1318,苟延残喘,Eke out a meagre life,On one's last legs,To be in a sea of troubles
1319,茹毛饮血,Live the life of a primitive man,Ru Mao drinks blood,To give one's life for the cause
1320,草木皆兵,Be afraid of one's own shadow,All grass and trees,Definition: <one-sentence definition>
1321,萍水相逢,"Casual, temporary meeting",Meet by chance,Run into each other
1322,荆棘载途,A path beset with difficulties,Thorns on the road,A rocky road
1323,万般皆下品，惟有读书高,"All occupations are ranked low, only book-learning is exalted","Everything is inferior, only reading is high",A pearl in the oyster
1324,万籁俱寂,All sounds are hushed (or still),Everything is silent,"Optional: <optional other English idioms that are somewhat relevant, but not as good as the best one>"
1325,万里长征,A long march of ten thousand li,The Long March,Alternatives:
1326,万事大吉,Everything goes off without a hitch,All is well,Optional: <list other relevant English idioms>
1327,万事亨通,Everything goes well,Everything is prosperous,On a roll.
1328,万事俱备，只欠东风,All is ready except what is crucial,All is ready except for the opportunity,```
1329,万寿无疆,(wish somebody) a long life,Longevity without borders,Between a rock and a hard place
1330,万水千山,Ten thousand crags and torrents,Thousands of Waters and Thousands of Mountains,Definition: <one-sentence definition>
1331,落花有意，流水无情,Unrequited love,"Falling flowers are intentional, flowing water is ruthless",<select the most relevant English idiom>
1332,落井下石,Strike (or hit) a person when he is down,Fall into the hole,3
1333,叶落归根,Falling leaves settle on their roots,Leaves fall back to their roots,Back to the drawing board
1334,叶公好龙,Professed love of what one really fears,Ye Gong Hao Long,To talk out of both sides of one's mouth
1335,萧规曹随,Follow established rules,Xiao Gui Cao Sui,A knife to the heart
1336,藏头露尾,Speak evasively (or equivocally),Hide one's head and show one's tail,Definition: To reveal the most important part of a secret or information while keeping the rest hidden.
1337,藏龙卧虎,Hidden dragons and crouching tigers,Hidden Dragon Crouching Tiger,Putting the icing on the cake
1338,药石之言,Unpleasant but needed advice,Words of medicine stone,1)
1339,虎背熊腰,Stalwart men,Tiger's back and bear's waist,Stage-1 output (definition + candidates):
1340,虎口余生,A narrow escape from death,The rest of the life,Between a rock and a hard place
1341,虚己以听,Listen patiently,Humility to listen,To suck up to someone.
1342,蚍蜉撼树,Ridiculously overrating one's own strength,Mayfly shake the tree,Candidates: <list the other English idioms>
1343,蛟龙得水,A hero gets an opportunity for showing his prowess,Jiaolong gets water,A fish out of water
1344,蜀犬吠日,An ignorant person makes a fuss about something which he alone finds strange,Shu dog bark day,To beat a dead horse
1345,虾兵蟹将,Ineffective troops,Shrimp soldier and crab general,A motley crew
1346,蚂蚁啃骨头,Plod away at a big job bit by bit,Ant chews on bone,4) <optional English idiom>
1347,螳螂捕蝉，黄雀在后,"The mantis stalks the cicada, unaware of the oriole behind","The mantis catches the cicada, the orioleis behind",A stone cast into a pond causes ripples.
1348,蝇营狗苟,Shamelessly seek personal gain,Fly camp dog gou,4) To be on edge
1349,蠢蠢欲动,Ready (about) to make trouble,Just around the corner,Champing at the bit
1350,蚕食鲸吞,Seize another country's territory by piecemeal encroachment or wholesale annexation,Swallow like a whale,To gild the lily
1351,血气方刚,In the prime of youth,Bloody Fang Gang,Not seeing the forest for the trees
1352,众目睽睽,In the public eye,In full view,In the spotlight
1353,众口难调,It is difficult to please everyone,Difficult to reach,4) <other English idioms>
1354,众口铄金,Public opinion will fuse metals,All mouths of gold,Let me know if this is correct.
1355,众擎易举,Many hands make light work,Easy to do,Many hands make light work.
1356,众说纷纭，莫衷一是,"As opinions vary, no unanimous conclusion can be drawn","Different opinions, no consensus",1) A bird in the hand is worth two in the bush.
1357,众人拾柴火焰高,Great things may be done by mass effort,The more the merrier,<select the most relevant English idiom>
1358,行百里者半九十,One must sustain one's effort when a task is nearing completion,Barry is only half of 90,Halfway to nowhere
1359,行同狗彘,Make a beast of oneself,Go with the dog,2) <select the second most relevant English idiom>
1360,行成于思,Success depends on forethought,Act by thinking,A stitch in time saves nine. 4) A stitch in time saves nine.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed.  was removed
1361,行若无事,Behave as if nothing had happened,Act like nothing,Put all one's eggs in one basket
1362,行远自迩,Step by step,Travel far away,2) <other English idioms>
1363,冲锋陷阵,Charge forward,Charge into battle,To get something for nothing
1364,衣架饭囊,Useless lazy persons,Hanger rice bag,```
1365,表里如一,Sincere,Same on the outside,Please go ahead and provide the output for the Chinese idiom: 一箭双雕
1366,袖手旁观,Stand by and do nothing,Stand idly by,"Note: I have provided the output format and the answer for the previous Chinese idiom, and now it's your turn to provide the answer for the next Chinese idiom."
1367,被褐怀玉,Not show off one's talent,By brown jade,Beauty is only skin-deep
1368,装疯卖傻,Pretend ignorance,Pretending to be crazy,4) <optional other relevant English idioms>
1369,装聋作哑,Pretend to be ignorant of something,Pretend to be deaf,<select the most relevant English idiom>
1370,覆巢之下无完卵,All involved,No eggs under the nest,A house divided against itself cannot stand.
1371,见风转舵,See how the wind blows,See the wind,<select the most relevant English idiom>
1372,见缝插针,Make use of every bit of time or space,See the seam,To put the cart before the horse
1373,见利忘义,Forget all moral principles at the sight of profits,Forget about profit,Candidates:
1374,见猎心喜,Thrill to see one's favorite sport and itch to have a go,See the heart of the hunter,To be on the scent of something
1375,见机行事,Do as one sees fit,Act by chance,Stage-1 output (definition + candidates):
1376,见异思迁,Desire to change one's work the moment one sees something different,See different thoughts,To be swayed by the winds of change
1377,视同路人,Regard as a stranger,Treat as a passerby,To give someone the cold shoulder.
1378,视同儿戏,Treat (a serious matter) as a trifle,Treat it like a child's play,A drop in the ocean
1379,视如寇仇,Regard (or look upon) somebody as one's enemy,Regarded as a hatred,1) Kill two birds with one stone
1380,视死如归,Look death calmly in the face,Look at death,<select the most relevant English idiom>
1381,视而不见，听而不闻,"Look at but not pay attention to, listen to but hear nothing","Turn a blind eye, hear without hearing",To close one's eyes to the truth
1382,视为知己,Regard as a good friend,Regarded as a confidant,Explanation: <optional>
1383,视为畏途,Keep away from something,Regarded as a dreadful way,Definition: <one-sentence definition>
1384,解放思想,Free oneself from old ideas,Emancipate the mind,Think outside the box
1385,解囊相助,Help somebody generously with money,Unpacking to help,1) Lend a helping hand
1386,解铃系铃,Whoever started the trouble should end it,Unwind the bell,Add insult to injury
1387,解甲归田,Retire from service,Disarming and returning to the field,Definition: To retire from public life and return to a peaceful and quiet life.
1388,触类旁通,Reason (or comprehend) by analogy,Comprehend by analogy,<select the most relevant English idiom>
1389,言必信，行必果,Always be true in word and resolute in deed,Promises must be kept and action must be resolute,Practice what you preach
1390,言必有中,Whenever one says something one hits the nail on the head,Words must be right,The pen is mightier than the sword.
1391,言归正传,Get (or come) to business,Closer to home,Kill two birds with one stone
1392,言行不一,One's actions are not in keeping with one's promises,Inconsistent words and deeds,Definition: Actions do not match words.
1393,言行一致,Practise what one preaches,Consistent with words and deeds,2) <other options>
1394,言之无物,(of speech or writing) be devoid of substance,Nothing to say,Open a Pandora's box
1395,言出法随,Enforce the regulations to the letter,Follow the law,Practice what you preach
1396,言传身教,Teach by personal example as well as verbal instruction,Teaching by precept and example,Definition: <brief definition of the Chinese idiom>
1397,言犹在耳,The words are still ringing (or reverberating) in one's ears,The words are still in my ears,Still ringing in my ears
1398,言为心声,One's words reflect one's thinking,Speak for the heart,Speak your mind.
1399,记忆犹新,Remain fresh in one's memory (or mind),Fresh in memory,To be cut to the quick
1400,设身处地,Put oneself in somebody else's position,Put yourself in,Cut to the quick
1401,评头品足,Find fault with,Comment on the head and the foot,To be as warm as toast
1402,话不投机半句多,"When the conversation gets disagreeable, to say one word more is a waste of breath",Don't talk more than half a sentence,Candidates:
1403,认贼作父,Treat a thief as one's father,Recognize a thief as a father,To make a mountain out of a molehill
1404,誓不甘休,Swear not to stop (or rest),Unwilling to rest,4) Make a stand
1405,誓死不二,Swear to be loyal forever,Swear to death,To be all in.
1406,诱敌深入,Lure the enemy troops in deep,Lure the enemy deep,Lead down the garden path
1407,说到做到,Live up to one's word,Do as promised,2
1408,说曹操，曹操就到,Talk of the devil and he will appear,"Say Cao Cao, Cao Cao will come",```
1409,谈虎色变,Turn pate at the mere mention of something terrible,Talk about a tiger's discoloration,Note: The above output is a sample. The actual output may vary based on the input idiom.
1410,请君入瓮,Kindly step into the vat - try what you have devised against others,Please enter the urn,Please provide the next idiom.  Please go ahead and give the next idiom.
1411,论功行赏,Award people according to their contributions,On meritorious deeds,Give credit where credit is due.
1412,讳莫如深,Not utter a single word about something,Keep a secret,To gild the lily
1413,诸如此类,Things like that (or this),And so on,Birds of a feather flock together.
1414,谑而不虐,Tease without embarrassing,Sarcastic but not cruel,```python
1415,识时务者为俊杰,A brave man knows how to bow to circumstances,The person who knows the times is Junjie,You can't unscramble eggs.
1416,豁然贯通,Suddenly see the whole thing in a clear sight,All of a sudden,You are what you eat
1417,豁然开朗,Suddenly cleared up,Suddenly see the light,Explanation:
1418,豹死留皮,A leopard's skin survives its body,Leopard dead skin,<English idiom>
1419,豺狼当道,Evil person in power,Jackal in power,To have one's heart set on something
1420,猫哭耗子,Shed crocodile tears,Cat crying mouse,Don't judge a book by its cover
1421,负重致远,(of a person) be able to shoulder important tasks,Carrying weight goes far,<select the most relevant English idiom>
1422,贫无立锥之地,Utterly destitute,A land of poverty,Reinventing the wheel
1423,贪小失大,Covet a little and lose a lot,Greedy for the small,A bird in the hand is worth two in the bush.
1424,贪生怕死,Clinging to life instead of braving death,Greedy for life,<select the most relevant English idiom>
1425,费尽心机,Painstakingly,Go to great lengths,Heart on fire
1426,贼喊捉贼,The devil rebuking a sin,Thief shouting catch thief,To call the kettle black
1427,贼去关门,Lock the door after the thief has gone,Thief to close the door,Definition: Having a single-minded focus or obsession.
1428,宾至如归,A home from home,Feel at home,Roll out the red carpet.
1429,赏罚分明,Be strict and fair in meting out rewards and punishments,Clear rewards and punishments,None
1430,赏心悦目,Find the scenery pleasing both to the eye and the mind,Pleasing to the eye,"Once bitten, twice shy"
1431,赔了夫人又折兵,Throw the helve after the hatchet,Lost my wife and lost my army,Definition: <definition of the Chinese idiom>
1432,卖剑买牛,Beat swords into ploughshares,Sell swords and buy cattle,Definition:
1433,质疑问难,Raise doubts and difficult questions for discussion,Difficult to question,1) To be cut to the quick.
1434,走马观花,Take a brief look at,Watching flowers on a horseback,<select the most relevant English idiom>
1435,赴汤蹈火,Go through hell,Go through fire and water,Explanation: <optional explanation>
1436,起死回生,Snatch a patient from the jaws of death,Come back to life,To invite trouble
1437,越俎代庖,Take another's job into one's own hands,Over and over again,2) To have tunnel vision
1438,跳梁小丑,Contemptible rebel,Jumping beam clown,Catching a cold
1439,蹈常袭故,Follow mere routine,Repeat the same,Alternatives: <list 2-3 other English idioms that are somewhat relevant but not as good a match>
1440,跃跃欲试,Itch to have a go,Eager to try,4) <other English idioms>
1441,身价百倍,Skyrocket to fame,Worth a hundred times,To be worth one's weight in gold
1442,身教胜于言教,Practice (or example) is better than precept,Teaching by example is better than teaching,Alternatives: <list the other English idioms>
1443,身先士卒,Lead one's men in a charge,Lead the way,Lead by example
1444,身在福中不知福,Not appreciate the happy life one enjoys,"In the midst of happiness, don't know happiness",Take nothing for granted
1445,车到山前必有路,Things will eventually sort themselves out,There must be a road before the car reaches the mountain,"1) When the going gets tough, the tough get going."
1446,软硬皆施,Use both persuasion and force (or coercion),Both soft and hard,To take the bull by the horns
1447,轻歌曼舞,Sing merrily and dance grace fully,Light songman dance,2) To be a silver-tongued devil
1448,轻重倒置,Put the trivial above the important,Inversion of light and heavy,4) <english idiom> (optional)
1449,轻于鸿毛,Lighter than a (goose) feather - a death which is of no significance at all,Lighter than a feather,Feedback:
1450,转祸为福,Turn a calamity into a blessing,Turn a misfortune into a blessing,Every cloud has a silver lining.
1451,转危为安,Pull through,Turn the corner,To put all one's eggs in one basket.
1452,转弯抹角,Beat about the bush,Beating around the bush,Be worn down
1453,近水楼台先得月,Enjoy the benefits of a favorable position,"Near the water floor, first-served month",3) A head start
1454,迫不得已,Be forced (driven or compelled) to,As a last resort,To be in a state of tunnel vision
1455,送旧迎新,Ring out the Old Year and ring in the New,Send the old and welcome the new,Break one's heart
1456,送往迎来,See off those who depart and welcome those who arrive,Send to welcome,Haunted by the past
1457,逆水行舟,Row against the flood,Sailing against the current,2) To ride on someone's coattails.
1458,逍遥法外,Go scot-free,Get away with it,Candidates: <list the other options>
1459,通权达变,Adaptable to changing circumstances,Pass the right to change,Definition: <one-sentence definition>
1460,逢凶化吉,Turn calamities into blessings,Turning bad luck into good luck,"When life gives you lemons, make lemonade.  # (select the single best English idiom that matches the definition of the Chinese idiom)"
1461,连篇累牍,Long-winded,A series of articles,To let sleeping dogs lie
1462,过屠门而大嚼,Feed oneself on illusions,Chewing through the butchery,Add fuel to the fire
1463,过河拆桥,Ingratitude for past help,Cross the river and demolish the bridge,To burn one's bridges
1464,遥相呼应,Coordinate with each other from afar,Echo each other,Optional: <list other English idioms that are not as relevant but still somewhat fitting>
1465,远水不救近火,Water far away is not of much use in putting out a fire,Far water does not save near fire,<select the most relevant English idiom>
1466,适逢其会,Happen to be present at the right moment,Coincides with the meeting,Secondary: <optional secondary idiom>
1467,避坑落井,Escape one difficulty only to fall into another,Avoid pits and fall into wells,Optional: <other English idioms that are somewhat relevant>
1468,邪魔歪道,Crooked ways (or means),Demon crooked way,<select the most relevant English idiom>
1469,酒囊饭袋,A good-for-nothing person,Wine bag rice bag,```
1470,酒肉朋友,Fair-weather friends,Wine and meat friends,Fair-weather friend
1471,醉生梦死,Live a life of dreams,Drunk life and dream death,"Live by the sword, die by the sword."
1472,醉翁之意不在酒,"Though one professes to be a drinker, he is really not interested in wine",The drunkard's intention is not the wine,A drop of water can make a mighty ocean.
1473,丑态百出,Utterly ridiculous,Act like a buffoon,To polish a turd
1474,重蹈覆辙,Recommit the same error,Repeat the same mistakes,```
1475,重见天日,Once more see the light of day -  be delivered from oppression or persecution,See the sun again,"Note: The Chinese idiom ""一叶障目"" means to be blinded by a small problem or to be distracted by a minor issue. The English idioms provided are similar in meaning and context."
1476,重温旧梦,Revive an old dream,Relive old dreams,Stage-1 output (definition + candidates):
1477,量力而行,Act according to one's ability,Do what you can,3) A long way from home.
1478,量入为出,Make both ends meet,Live within your means,Don't judge a book by its cover.
1479,量材录用,Assign jobs to people according to their talents,Quantity material acceptance,Look for diamonds in the rough.
1480,金科玉律,Laws and regulations,The golden rule,The golden rule
1481,金蝉脱壳,Escape unnoticed,Golden cicada shells,To mix oil and water
1482,金石为开,The utmost sincerity can influence even the metal and stone,Gold stone is open,A drop in the bucket
1483,金瓯无缺,Unimpaired territorial integrity,Ca Mau is flawless,4) <other English idioms>
1484,金玉其外，败絮其中,Shining on the outside but rotten on the inside,"The gold and jade are outside, andthe corruption is in it",1) All that glitters is not gold.
1485,釜底抽薪,Take a drastic measure to deal with a situation,Salary from the bottom of the pot,Gild the lily
1486,针锋相对,Blow for blow,Tit for tat,Kill two birds with one stone
1487,银样蜡枪头,A pewter spearhead that shines like silver - an impressive looking but useless person,Silver wax tip,A wolf in sheep's clothing
1488,钢筋铁骨,A brass and iron constitution - a strong man,Reinforced iron bones,<English idiom>
1489,铭感终身,Remain deeply grateful for the rest of one's life,Impressive for life,To bear a grudge
1490,铤而走险,Rush headlong into danger,Take the risk,<select the most relevant English idiom>
1491,锋芒所向,Target of attack,The direction of the edge,Cutting both ways
1492,锱铢必较,Dispute over every detail,Baht must be compared,Every penny counts.
1493,钱可通神,Money makes the mare go,Money can be transcendental,Explanation: <optional explanation of why the selected idiom is the best match>
1494,锦绣河山,Beautiful land,Splendid rivers and mountains,A heart-wrenching experience
1495,锦上添花,Win honor (or successes) one after another in quick succession,Icing on the cake,Rationale:
1496,镜花水月,Flowers in a mirror and the moon in water - an illusion,Through the mirror,Practice makes perfect
1497,铁树开花,The iron tree in blossom - something seldom seen or hardly possible,Iron tree blossom,All roads lead to Rome
1498,铁案如山,Borne out by ironclad evidence,The iron case is like a mountain,Birds of a feather flock together
1499,铸成大错,Make a gross error,Make a big mistake,<select the most relevant English idiom>
1500,鉴往知来,See visions of things by (or from) experiences,Learn from the past,4) <optional other English idioms>
1501,长年累月,Year in year out,Over the years,1) A long time coming
1502,长此以往,If things continue this way,For along time,3) Out of the frying pan and into the fire.
1503,门庭若市,A much visited house,Ting Ruo city,<select the most relevant English idiom>
1504,闭门造车,Draw up plans behind closed doors,Behind closed doors,Going it alone
1505,闭门思过,Ponder over one's mistakes in solitude,Thought behind closed doors,<select the most relevant English idiom>
1506,闭目塞听,Shut one's eyes and stop up one's ears - be out of touch with reality,Close your eyes and listen,Know the back of your own hand
1507,闭塞眼睛捉麻雀,Act blindly,Close your eyes to catch sparrows,```
1508,开门见山,Put it bluntly,Straight to the point,To be in a state of denial
1509,开门揖盗,Ask for trouble,Open the door,To gild the lily
1510,开天辟地,Epoch-making,Open up the world,<select the most relevant English idiom>
1511,开花结果,Blossom bear fruit - yield positive results,Bloom and bear fruit,2) To have a divided heart
1512,开卷有益,Reading enriches the mind,Unwinding is beneficial,<select the most relevant English idiom>
1513,开山祖师,A founder,The founder of the mountain,Break new ground
1514,开源节流,Earn more income and cut down expenses,Open source and reduce expenditure,All roads lead to Rome
1515,防不胜防,Impossible to defend effectively,Hard to guard against,To beat around the bush
1516,防意如城,Guard the thoughts of the heart as you would defend a city,Defense is like a city,1) To be cut to the quick
1517,降龙伏虎,Subdue the dragon and tame the tiger - overcome powerful adversaries,Subduing the dragon and subduing the tiger,To conquer the dragon
1518,除旧布新,"Ring out the old, ring in the new",Remove old cloth and new,OR
1519,除恶务尽,Uproot (all) evils,Do away with evil,You can't teach an old dog new tricks.
1520,阴错阳差,(a mistake or error due to) a strange combination of circumstances,Yin and yang difference,4) <optional alternative English idioms>
1521,陈陈相因,Follow a set routine,Chen Chen Xiangyin,A thorn in one's side
1522,阳奉阴违,Comply in public but oppose in private,Yang follows yin,To pay lip service
1523,隔墙有耳,Beware of eavesdroppers,Wall has ears,Alternatives: <list other English idioms that are somewhat relevant>
1524,隔岸观火,Look on at somebody's trouble with indifference,Watching the fire from the other side,Stand on the sidelines
1525,随波逐流,Follow the current (or crowd),Go with the flow,To make a mountain out of a molehill
1526,随风转舵,Take one's cue from changing conditions,Turn the rudder with the wind,To change course at the helm.
1527,随心所欲,Have (or get) one's own way,Do whatever you want,4) To be cut to the quick
1528,隐晦曲折,Veiled and round-about,Obscure twists and turns,A ripple effect
1529,隐恶扬善,Hide somebody's wrongdoing and praise his good deeds,Hide evil and promote good,1) To be deadpan
1530,雅俗共赏,Give pleasure both to the refined and the vulgar,Both refined and popular,Definition:
1531,集腋成裘,Many drops of water make an ocean,Combine armpits into fur,4) <optional other English idioms>
1532,雕虫小技,Insignificant skill (especially in writing),Bug carving tricks,A drop in the ocean
1533,离乡背井,Leave one's native district,Away from home,A fish out of water
1534,雨后春笋,Spring up like mushrooms,Spring bamboo shoots,"Where there's a will, there's a way"
1535,雪中送炭,Provide timely help,Charcoal in the snow,<select the most relevant English idiom>
1536,雪上加霜,One disaster after another,Make matters worse,To add fuel to the fire
1537,云消云散,Vanish into thin air,The clouds dissipate,4) <optional other relevant English idioms>
1538,雷声大，雨点小,Much said but little done,"Thunder, little rain",or
1539,震古铄今,Earthshaking,Shocking the past and the present,4) <optional other English idioms>
1540,青出于蓝，而胜于蓝,The pupil learns from and outdoes his teacher,The student surpasses the master,Stand on the shoulders of giants
1541,青云直上,Rapid advancement in one's career,Clouds go straight up,Everyone has their price.
1542,非驴非马,Neither ass nor horse,Not a donkey not a horse,Not all that glitters is gold.  (this one is similar)
1543,靠山吃山，靠水吃水,Make use of local resources,"Relying on the mountains to eat the mountains, relying on the water to drink water",Live on borrowed time
1544,靡靡之音,Decadent music,The Voice of Extravagance,<select the most relevant English idiom>
1545,面面相觑,Look at each other at a loss about what to do,Face to face,3) Dumbfounded
1546,面目可憎，语言无味,Repulsive in appearance and flavorless in verbal expression,"Disgusting face, tasteless language",A fly buzzing around a cow's ears
1547,革故鼎新,Discard the old ways of life in favor of the new,Revolutionizing the old,Turn over a new leaf
1548,鞠躬尽瘁，死而后已,Give one's all till one's heart stops beating,Bow down and die,Work to the bone
1549,韬光养晦,Hide one's capacities and bide one's time,Keep a low profile,4) <english idiom> (optional)
1550,响彻云霄,Resound (or reverberate) through the skies,Resounding through the sky,Definition: A sound or voice can be heard clearly from a great distance.
1551,响遏行云,(of singing) reverberate through the skies,Sound stop cloud,Overwhelmed
1552,项背相望,(walk) one after another in close succession,Facing each other,A drop in the ocean
1553,项庄舞剑，意在沛公,Act with a hidden motive,"Xiang Zhuang dances the sword, aiming at Pei Gong",To be all over the place
1554,顺藤摸瓜,Track down somebody or something by following clues,Follow the vine,Follow the thread of a needle.
1555,顺理成章,Speak (or write) logically,It's a matter of course,It's only natural
1556,顺手牵羊,Take something that doesn't belong to oneself,Take the sheep by the hand,Note: The above output is an example. The actual output may vary based on the Chinese idiom provided.
1557,顺水推舟,Do something without extra effort,Push the boat,To be a know-it-all
1558,顺水人情,A favor done at little cost to oneself,Shun Shui Favor,To add insult to injury
1559,颂古非今,Eulogize the past at the expense of the present,Praise the past,1) <other English idiom>
1560,顽石点头,(be so persuasive as to make) the insensate stones nod in agreement,Stubborn stone nod,2) To be a yes-man
1561,头痛医头，脚痛医脚,Treat symptoms but not the disease,"Headache doctor head, foot pain doctor foot",3) Don't put the cart before the horse
1562,颠倒黑白,Prove that black is white and white black,Upside down black and white,Definition: <the definition of the Chinese idiom>
1563,顾名思义,As the term suggests,As the name suggests,A bombshell
1564,顾前不顾后,Act rashly,Regardless of the future,To promise the moon
1565,顾全大局,Take the interests of the whole into account,Take the overall situation into consideration,Cut to the chase
1566,顾此失彼,Be put in a double squeeze,Take care of one thing and lose another,Don't put all your eggs in one basket
1567,顾影自怜,Look at one's reflection and admire oneself,Gu Ying feels sorry for herself,4) None
1568,风靡一时,Be popular for a time,All the rage,<select the most relevant English idiom>
1569,风烛残年,Old and ailing like a candle guttering in the candlestick,Wind candle waning years,Sweating the small stuff
1570,风声鹤唳,In a state of fear and turmoil,The sound of the wind,4) <other English idioms>
1571,风餐露宿,Brave wind and dew,Wind meal camping,2) To be struggling to make ends meet.
1572,风雨同舟,Stand together through thick and thin,Through thick and thin,Definition: <one-sentence definition>
1573,风云人物,A celebrity,Man of the Year,Not a speck
1574,飞针走线,Do needlework very skilfully,Flying needle routing,Candidates:
1575,飞沙走石,A sandstorm,Flying sand and stone,4) <other English idioms>
