|src|true_meaning|literal_translation|predicted
344|घर आँगन में झगड़ा|domestic disputes|a quarrel in the house courtyard|Fighting in the backyard
345|घर की लक्ष्मी|a woman considered the prosperity of a home|the house’s Lakshmi|Lakshmi of the house
346|आम के आम गुठलियों के दाम|double benefit from one effort|mangoes as mangoes, pits for a price too|The price of common mango bulbs
347|आम रास्ता पकड़ना|to take the easy or common way|to take the common road|Taking the Common Route
348|आम आदमी|a common man|common man|common man
349|आमदनी अठन्नी खर्चा रुपैया|expenses exceeding income|income half a rupee, expense a rupee|Income and expenses Rs.
350|आम खाने वाले बनो, पेड़ मत गिनो|enjoy benefits without overanalyzing|be mango-eaters, don’t count the trees|Be a common eater, not a tree eater.
351|आमदनी बढ़ाना|to increase income|to increase income|Increase income
352|अंधे के हाथ बटेर लगना|to get lucky unexpectedly|a quail falling into a blind person’s hand|Blindness of the hands
353|अंधा कानून|law that doesn’t see right and wrong|blind law|blind law
354|अंधेरे में तीर चलाना|to try without knowledge|to shoot an arrow in the dark|Shooting an arrow in the dark
355|अंधे को अंधेरे में बहुत दूर की सूझी|to overestimate one’s own understanding|to a blind person, in darkness, perceiving the far-off|The blind man sees far into the darkness.
356|अंधे के हाथ में आइना|a useless thing in wrong hands|a mirror in a blind person’s hand|A mirror in the hands of a blind person
357|अंधों में काना राजा|to shine among the incompetent|among the blind, the one-eyed is king|The King of Cana in the Blind
358|काला अक्षर भैंस बराबर|to be illiterate or uneducated|black letters equal a buffalo|Black letters equal buffalo
359|काला धन|black or illegal money|black money|black money
360|काला मन|evil thoughts or intentions|black heart/mind|black mind
361|काले मन का इंसान|a person with bad heart|a person of a black heart|The Man with the Dark Mind
362|काली करतूत|bad or shameful deeds|black deeds|blacklisted
363|काली रात में दिया जलाना|to hope amidst despair|to light a lamp on a black night|Lighting a lamp in the dark of night
364|काली कमाई|illegal earnings|black earnings|black money
365|काली मिर्च लगाना|to exaggerate a story|to apply black pepper|planting black pepper
366|काली नीयत|to have bad intentions|black intention|black purpose
367|काला सच|an unpleasant hidden truth|black truth / dark truth|black truth
368|बीज बोना|to initiate an idea or event|to sow seed|sowing seeds
369|बीज बोकर फल काटना|to reap what one sows|to sow seed and reap fruit|Sowing the Seed and Reaping the Fruit
370|बीज से पेड़ बनना|to see progress from small beginnings|from seed, a tree to become|From seed to tree
371|बीज बोकर काँटे काटना|to face consequences of one’s actions|to sow seeds and cut thorns|Reaping thorns by sowing seeds
372|बीज बदलना|to change the foundation or cause|to change the seed|changing seeds
373|बीज नष्ट करना|to end something at its root|to destroy the seed|destroying seeds
374|बीज जमना|to start taking effect|for the seed to set/germinate|seed solidification
375|बीज बोने वाला|one who starts a trend or cause|one who sows seed|the sower
376|बीज रोपना|to initiate growth or influence|to plant seed|planting seeds
377|बीज काटना|to destroy the base of something|to cut the seed|harvesting seeds
378|थाली का बैंगन|someone who changes sides easily|eggplant of the plate|plate of eggplant
379|थाली में नमक खाना|to benefit from someone’s kindness|to eat salt in (someone’s) plate|eating salt on a plate
380|थाली में छींद लगाना|to betray the one who helped|to make a slit/hole in the plate|squeezing in a plate
381|थाली बजाना|to protest or express excitement|to bang the plate|playing the platter
382|थाली का खाना|a share of resources or wealth|food of the plate|plate food
383|थाली में रखना|to serve something easily|to place in the plate|put on a plate
384|थाली पलटना|to go against one’s own|to flip the plate|flip the plate
385|थाली की रोटी बनना|to be part of a group or system|to become the plate’s roti|Becoming the bread of the dish
386|थाली चाटना|to exploit something completely|to lick the plate|licking plate
387|थाली में परोसना|to give ready-made success|to serve on a plate|serving on a plate
388|चिराग तले अंधेरा|to overlook what’s right before you|darkness beneath the lamp|dark under the lamp
389|चिराग जलना|to bring light or hope|the lamp to light|lighting a candle
390|चिराग बुझना|to lose hope or family support|the lamp to go out|extinguishing a lamp
391|चिराग दिखाना|to guide or help someone|to show a lamp|flashing lights
392|चिराग लेकर ढूँढना|to search very carefully|to search carrying a lamp|Finding with a Lamp
393|चिराग तले छिपना|to hide in the most obvious place|to hide under the lamp|hiding under a lamp
394|चिराग की तरह जलना|to sacrifice oneself for others|to burn like a lamp|burning like a candle
395|चिराग घर का बुझना|to lose a loved one|the household’s lamp to go out|Lighthouse extinguishing
396|चिराग को हवा लगना|to face danger or crisis|for the lamp to catch wind|blowing a light bulb
397|चिराग हाथ में होना|to have control or guidance|to have a lamp in hand|holding a torch
398|भेड़ चाल चलना|to follow others blindly|to walk the sheep’s gait|sheep walk
399|भेड़ बनना|to lack independent thought|to become a sheep|Becoming a Sheep
400|भेड़ की तरह भागना|to run after the crowd|to run like sheep|Running Like a Sheep
401|भेड़िया बनना|to be cruel or selfish|to become a wolf|Becoming a wolf
402|भेड़ का रूप धारण करना|to appear innocent while being deceitful|to assume the form of a sheep|Taking the Form of a Sheep
403|भेड़ की खाल में भेड़िया|a dangerous person pretending to be gentle|a wolf in sheep’s skin|A wolf in sheep's clothing
404|भेड़ के पीछे भेड़|to imitate without thinking|sheep behind sheep|sheep after sheep
405|भेड़ की तरह झुंड में रहना|to depend on others’ lead|to live in a flock like sheep|Like sheep in a flock
406|भेड़ की तरह बोलना|to agree without question|to speak like sheep (bleat)|Speaking Like a Sheep
407|भेड़िया आया कहकर झूठ बोलना|to lie so often that no one believes you later|to say ‘the wolf has come’ and lie|Lying That the Wolf Came
408|ईमान बेचना|to sacrifice integrity for gain|to sell honesty/conscience|selling faith
409|ईमान पर आँच आना|to face moral challenge|for heat/flame to come upon honesty|Believing in the One True God
410|ईमानदार बनना|to act honestly|to become honest|Being Honest
411|ईमान का सौदा करना|to compromise ethics for money|to trade one’s honesty|Bargaining for Faith
412|ईमान की कमाई|honest earnings|earnings of honesty|The Reward of Faith
413|ईमान दिखाना|to prove one’s honesty|to show honesty|exercising faith
414|ईमानदारी निभाना|to act truthfully and faithfully|to uphold honesty|Being Honest
415|ईमान का साथी|a trustworthy companion|companion/partner of honesty|a fellow believer
416|ईमान से उतरना|to become dishonest|to step down from honesty|falling away from the faith
417|ईमान की परीक्षा देना|to face a test of character|to give a test of honesty|Testing of Faith
418|झूठ बोलना|to tell a lie|to speak a lie|lying
419|झूठ पकड़ना|to catch a lie or liar|to catch a lie|catch a lie
420|झूठ की पोल खोलना|to expose deceit|to open the seams of a lie|Opening a Poll of Lies
421|झूठा बहाना बनाना|to make false excuses|to make a false excuse|making false excuses
422|झूठ बोलकर बचना|to lie and escape consequences|to escape by telling a lie|Avoid lying
423|झूठ फैलाना|to spread lies|to spread lies|spreading lies
424|झूठ सच बनाना|to manipulate facts to appear true|to make a lie into truth|Making a Lie True
425|झूठ पर झूठ बोलना|to keep lying|to speak lie upon lie|Lying on a lie
426|झूठ से मुँह मोड़ना|to stay away from falsehood|to turn one’s face away from lies|Turning away from falsehood
427|झूठ पकड़ा जाना|to get caught lying|to be caught lying|being caught lying
428|एक तीर से दो निशाने|to achieve two goals with one action|with one arrow, two targets|Two targets with one arrow
429|नौ दो ग्यारह होना|to run away quickly|to become nine two eleven|nine two eleven.
430|खयाली पुलाव पकाना|to daydream unrealistic plans|to cook imaginary pulao|cooking candies
431|दाल में कुछ काला है|something is suspicious|there is something black in the lentils|There 's something black in the pulp
432|दाल न गलना|a plan not working out|the lentils not cooking|not swallowing pulses
433|जले पर नमक छिड़कना|to make someone’s pain worse|to sprinkle salt on a burn|sprinkling salt on fire
434|सोने पर सुहागा|an added bonus to something good|suhaaga on top of gold|Sweet on the palate
435|रामबाण उपाय|a sure-shot remedy|Rama’s-arrow remedy|remedy
436|आसमान से तारे तोड़ना|to promise or attempt the impossible|to pluck stars from the sky|The falling of the stars from the sky
437|सात समुंदर पार|very far away|across seven seas|Across the Seven Seas
438|अब पछताए होत क्या जब चिड़ियाँ चुग गई खेत|repenting after the damage is done|what use repenting now, when birds have pecked the field|What, when the birds devour the crop,
439|हाथ कंगन को आरसी क्या|no proof needed for the obvious|what mirror for a bangle on the wrist|What's the RC to the hand bracelet
440|तिल का ताड़ बनाना|to exaggerate a small issue|to make a palm tree out of a sesame seed|making a molasses palm
441|ठोकर खाना|to stumble and learn from mistakes|to stumble/strike the toe|stumble
442|ठंडा बस्ता डालना|to shelve a matter indefinitely|to put into a cold bag|cold sack
443|ठंडी साँस भरना|to sigh in sorrow|to heave a cold sigh|cold breathing
444|जी का जंजाल|a constant nuisance|a snare of the life/soul|G's whirlwind
445|जी जान से लगना|to put one’s heart and soul into it|to apply life and soul|clinging to life
446|पीठ पीछे वार करना|to backstab someone|to strike behind the back|back to back
447|पीठ थपथपाना|to praise or encourage|to pat the back|patting the back
448|पीठ दिखाना|to run away from a challenge|to show the back|pointing back
449|पत्ता साफ होना|to be removed or eliminated|for the leaf/card to be cleared|leaf clearing
450|पत्ते खोलना|to reveal one’s plans|to open the cards|opening of leaves
451|पलड़ा भारी होना|to have the upper hand|for the balance-pan to be heavy|heaviness
452|फटे में टांग अड़ाना|to meddle where not needed|to stick a leg into a tear|a broken leg
453|फूटी किस्मत|very bad luck|broken luck|bloated fortune
454|फूटी कोड़ी|a tiny amount of money|a broken cowrie/coin|scratch
455|फूल नहीं समाना|to be overjoyed|to be swollen, not contained|not holding flowers
456|रंग में भंग पड़ना|to have celebrations spoiled|for bhang to fall into the dye/color|dissolving in color
457|रंग बदलना|to betray or change stance|to change color|change of colour
458|रंग लाना|to succeed|to bring color|bring color
459|रंगे हाथ पकड़ा जाना|to be caught red-handed|to be caught with colored hands|being caught red-handed
460|लकीर का फ़कीर|to follow tradition blindly|a fakir of the line|The Faqir of the Line
461|लंबी-लंबी छोड़ना|to boast with tall claims|to leave off long-long (claims)|lengthy leave
462|लोहा मानना|to acknowledge someone’s superiority|to accept the iron|iron
463|लोहा गरम है चोट कर|strike while the iron is hot|iron is hot—strike a blow|Iron is hot hurting
464|दिन-दुगनी रात-चौगुनी तरक्की|rapid, compounding growth|day double, night quadruple progress|Double the day, double the night, quadruple the growth.
465|दिन में तारे दिखना|to be in extreme pain or shock|stars appearing in the daytime|The appearance of the stars during the day
466|मक्खन लगाना|to flatter for gain|to apply butter|applying butter
467|मगजमारी करना|to toil mentally|to do brain-beating|harassing
468|माथा पीटना|to regret greatly|to beat the forehead|patting the head
469|माथा ठोकना|to plead earnestly or pray|to knock the forehead|nodding his head
470|माथे पर बल पड़ना|to appear tense|for wrinkles/tension to appear on the forehead|pressure on the forehead
471|मान रखना|to honor someone’s feelings|to keep honor|respect
472|मुँह में दही जमाना|to remain deliberately silent|to let curd set in the mouth|Putting yogurt in the mouth
473|मूँछों पर ताव देना|to show pride or bravado|to give a twist to the moustaches|Tapping the whiskers
474|जग हँसाई होना|to become a public joke|to become the world’s laughter|to be laughable
475|टांग अड़ाना|to interfere unnecessarily|to stick in a leg|ankle sprain
476|तूफ़ान खड़ा करना|to create a big ruckus|to raise a storm|raising a storm
477|कलेजा मुँह को आना|to be terrified (near-death feel)|the liver to come to the mouth|coming to the mouth of the liver
478|कलेजा ठंडा होना|to feel avenged or satisfied after anger|the liver to become cool|coldness of the liver
479|घी सीधी उंगली से ना निकले तो टेढ़ी करनी पड़े|use strict means if polite ones fail|if ghee won’t come out with a straight finger, one must bend it|If the ghee doesn 't come out of the straight finger, you have to twist it.
480|छाती ठोकना|to boast loudly|to thump the chest|throbbing in the chest
481|छाती पर साँप लोटना|to be intensely jealous|a snake to roll on the chest|Wrapping a snake around your chest
482|छाती पर मूंग दलना|to oppress or torment someone|to mill mung beans on the chest|crushing a pea on the chest
483|छाती चौड़ी होना|to feel proud|the chest to become broad|breast width
484|खेत खाए गधा, मारें जुलाहा|to punish the wrong person|the donkey ate the field, (yet) we beat the weaver|The farm eats the donkey, kills the blacksmith.
485|कुएँ में कूदना|to jump into trouble knowingly|to jump into a well|jumping into a well
486|कुआँ खोदना|to prepare in advance|to dig a well|digging a well
487|चींटी की चाल|very slow progress|the ant’s gait|the ant's movements
488|गागर में सागर भरना|to say a lot in few words|to fill the ocean into a pitcher|Filling the ocean in gargoyles
489|ऊँची दुकान फीका पकवान|great show, poor quality|tall shop, bland dish|High store faded dish
490|नाच न जाने आँगन टेढ़ा|blame surroundings for one’s lack|doesn’t know to dance, (says) the courtyard is crooked|crooked courtyard without dancing
491|नेकी कर दरिया में डाल|do good without expectation|do good and throw it into the river|Do good and throw them into the sea.
492|थोथा चना बाजे घना|empty vessels make more noise|hollow chickpea makes loud sound|a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a little, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a.
493|रात गई बात गई|let bygones be bygones|night gone, talk gone|The night went by.
494|रातों-रात बदलना|to change overnight|to change overnight|Changing from night to night
495|रस्सी जल गई पर ऐंठ न गई|to be arrogant despite downfall|the rope burned but its twist didn’t go|The rope burned but didn 't snap
496|रोज़ का रोना|the same old complaint|daily crying|crying every day
497|रोटी-रोज़ी का सवाल|a matter of livelihood|question of bread and livelihood|The Question of Bread
498|लाभ-हानि की परवाह न करना|to not care about profit or loss|to not care about profit-loss|Not caring about profits or losses
499|लाख टके की बात|a very valuable point|a matter worth a hundred thousand rupees|A million words.
500|लकड़ी बेकार करना|to waste effort (colloquial sense)|to waste wood|waste wood
501|लड़ाई का मूड बनाना|to get into a quarrelsome mood|to make a mood for a fight|Creating a Fighting Mood
502|शक की सूई अटकना|to remain doubtful|the needle of doubt to get stuck|sticking to the needle of doubt
503|सड़कछाप व्यवहार|rude, rough behavior|street-stamped behavior|road mark behavior
504|सिर पर चढ़ाना|to pamper excessively|to lift onto the head|put on the head
505|सिर पर हाथ फेरना|to bless affectionately|to stroke the head with the hand|turning the hand over the head
506|सिर पर तूफ़ान टूटना|to face a sudden calamity|a storm to break upon the head|Hurricane breaking on the head
507|सिर खपाना|to rack one’s brains|to wear out the head|head covering
508|सिर ऊँचा करना|to bring honor|to raise the head high|lifting the head
509|सिर झुकाना|to show respect or shame|to bow the head|bow your head
510|सुबह के भूले शाम को घर आ जाएँ तो भूले नहीं कहलाते|better late than never|if the morning’s lost returns home by evening, he’s not called lost|When they come home in the morning, they are not forgotten.
511|अक्ल के घोड़े दौड़ाना|to overthink unnecessarily|to run the horses of intellect|Racing the horses of wisdom
512|अव्वल दर्जे का|of top quality|of first grade|of the highest order
513|अधेड़ उम्र की दिक्कत|middle-age related issues (colloq.)|difficulty of middle age|The trouble of middle age
514|अंगारों पर चलना|to go through hardships|to walk on embers|Walking on grain
515|अंगूठा दिखाना|to refuse bluntly|to show the thumb|thumbs up
516|अंगूठा छाप|an illiterate person (dated)|thumb-impression (person)|thumbprint
517|अंधेर नगरी चौपट राजा|a place with complete mismanagement|city of darkness, ruined king|Andher Nagari Chowpat Raja was born in India.
518|अन्नदान महादान|charity of food is supreme (proverbial)|gift of food is the great gift|food and drink
519|अक्ल ठिकाने लगना|to come to one’s senses|sense to settle into place|Reasonableness
520|कानून हाथ में लेना|to take law into one’s own hands|to take the law in one’s hand|Taking the Law into Your Hands
521|कान पर हाथ रखना|to be alarmed or scared|to place a hand on the ear|hand over the ear
522|कानोंकान खबर न होना|no one gets wind of it|not an ear-to-ear whisper of news|not hearing the news
523|काला-सफेद करना|to decide authoritatively|to make black-white|black and white
524|कलेजे पर पत्थर रखना|to harden one’s heart to do something tough|to place a stone on the liver|Placing a stone on the liver
525|किसी की बैंड बजाना|to thrash or defeat thoroughly|to play someone’s band|playing in someone 's band
526|खुल्लम-खुल्ला कहना|to say openly|to say in the open-open|Speak openly
527|खून गर्म होना|to feel fired up|blood to become hot|warmth of the blood
528|खुशी के मारे फूले न समाना|to be overjoyed|for joy, to swell and not be contained|Do not be overwhelmed by joy
529|गला सूख जाना|to feel nervous or scared|the throat to dry up|dry throat
530|गला काट प्रतिस्पर्धा|cut-throat competition|throat-cut competition|Throat-chopping competition
531|गलती पर पर्दा डालना|to cover up a mistake|to put a curtain over a mistake|Covering up the mistake
532|गले की फाँस|a nagging problem|a thorn in the throat|sore throat
533|गले मिलना|to embrace warmly (reconciliation)|to meet at the neck (embrace)|embrace
534|घड़ी-घड़ी रंग बदलना|to be fickle|to change color every hour-hour|Changing the color of the clock
535|घूम-फिरकर वहीं आना|to end up at the same point|to go round and come back there|Going around and getting there.
536|चक्कर काटना|to make repeated rounds (bureaucracy)|to cut circles|circumambulation
537|चक्की में पिसना|to be crushed by circumstances|to be ground in a mill|grinding in the mill
538|चौबे जी छब्बे बने, दुबे बने न|to aim higher and lose what you had|Mr. Choubey became ‘Chhabbe’, (yet) didn’t become Dubey|The fourteenth became sixteenth and the twelfth became nineteenth.
539|चूँ भी न करना|to not utter a word|to not utter even ‘choo’|not even kissing
540|चोली-दामन का साथ|inseparable relationship|the companionship of blouse and veil|with Choli - Daman
541|छोटा मुँह बड़ी बात|big talk from a small person|small mouth, big talk|The small mouth is the big thing.
542|जुबान पर ताला लगाना|to keep one’s mouth shut|to put a lock on the tongue|locking on the tongue
543|जुबान देना और निभाना|to keep a promise|to give one’s word and keep it|Speaking and acting
544|जुबान की कसम|a solemn vow|oath of the tongue|By the tongue.
545|जान पर बन आना|to be in grave danger|to come upon the life|Becoming Alive
546|जान हथेली पर लेकर फिरना|to live riskily|to carry one’s life on the palm|Carrying a life in the palm of your hand
547|जेब ढीली करना|to spend money|to loosen the pocket|loosening the pocket
548|जेब काटना|to pickpocket / cheat|to cut the pocket|pocket cutting
549|जोर आज़माइश करना|to test strength|to do strength-testing|Trying hard
550|जोर-शोर से करना|to do with great enthusiasm|to do with force and noise|loudly
551|टेंट-टून बजना|to make a loud scene (colloq.)|to go ‘tain-toon’ (clang loudly)|playing tent-tone
552|ठाठ से रहना|to live in style|to live with pomp|being classy
553|डंका पीटना|to announce loudly|to beat the kettle-drum|knocking
554|ढिंढोरा पीटना|to brag publicly|to beat the public drum|beating
555|ढील देना|to be lenient|to give slack|loosen up
556|तारीफ़ के पुल बाँधना|to heap praises|to build bridges of praise|Building Bridges of Commendation
557|तह तक पहुँचना|to get to the root cause|to reach the bottom layer|reaching the bottom
558|तन-मन-धन से|with body, mind, and wealth; wholeheartedly|with body, mind, and wealth|by means of wealth and possessions
559|तार-तार करना|to tear apart reputation|to make into threads|wire
560|तार जोड़ना|to connect the dots|to join the wires|adding strings
561|तीस मार खाँ|a self-proclaimed hero; boaster|Tees Mar Khan (Mr. ‘thirty-strikes’ Khan)|Thirty times
562|तीन में न तेरह में|irrelevant to any group|neither in the three nor in the thirteen|Not in three nor in thirteen.
563|तेल-मसाज करना|to flatter for benefit (colloq.)|to do oil massage|oil massage
564|थक-हार कर बैठ जाना|to give up after trying|to sit down tired and defeated|Sitting down tired
565|थाली का बैंगन बनना|to switch sides easily (opportunist)|to become the plate’s eggplant|Becoming a Plate Bamboo
566|दिमाग का पारा चढ़ना|to lose temper|the mind’s mercury rising|Mercury buildup in the brain
567|दिमाग सातवें आसमान पर|to be overconfident or elated|the mind on the seventh sky|Mind at seventh heaven
568|दिमाग की बत्ती जलना|to suddenly get an idea|the brain’s lamp lighting|Burning the Light of the Mind
569|दाँव खेलना|to take a calculated risk|to play a stake|betting
570|दाँव-पेंच आज़माना|to use tricks or tactics|to try stakes and tricks|Trying the Right Way
571|नाक में नकेल डालना|to bring someone under strict control|to put a halter in the nose|Putting nickel in the nose
572|नाक रगड़ना|to beg desperately|to rub the nose|rubbing the nose
573|नाक ऊँची रखना|to uphold one’s honor|to keep the nose high|keeping the nose up
574|नाक काट कर रख देना|to disgrace someone completely|to cut off the nose and set it down|cutting off the nose
575|नाक पर दम होना|to be short-tempered / easily angered|to have breath on the nose|Dyspnea of the nose
576|नाक का बाल होना|to be a favorite / close confidant|to be the hair of the nose|having nasal hair
577|कान खोलकर सुनना|to listen attentively|to listen with ears open|Listening with an open ear
578|कान देना|to pay attention|to give an ear|to listen
579|कान पकड़ कर माफी मांगना|to apologize earnestly|to hold the ears and ask forgiveness|Apologizing by Holding Your Ear
580|कान के नीचे देना|to slap / scold sharply|to give a blow beneath the ear|put under the ear
581|कान में भनक पड़ना|to get a hint of something|for a hint to fall into the ear|ringing in the ears
582|कान फटना|to hear loud/harsh sounds|for the ear to tear|bursting of the ears
583|कान कतरना|to cheat a little from all sides|to clip the ears|ear scratching
584|आँख बचाकर निकलना|to slip away unnoticed|to slip out hiding from the eyes|Saving the Eye
585|आँखें चार होना|to exchange glances / fall in love|for the eyes to become four|having four eyes
586|आँखें चुराना|to avoid facing someone|to hide the eyes|stealing eyes
587|आँखें तिरछी करना|to squint in doubt|to make the eyes slant|squinting
588|आँखों पर पट्टी बंधना|to be blinded to the truth|for a bandage to be tied on the eyes|blindfolded
589|आँखों में बसाए रखना|to cherish someone deeply|to keep (someone) lodged in the eyes|Keeping your eyes peeled
590|आँखों ही आँखों में इशारा करना|to communicate silently|to signal within the eyes themselves|Looking into each other's eyes
591|हाथ आजमाना|to try one’s hand at something|to try the hand|try your hand
592|हाथ पक्का होना|to be highly skilled|for the hand to be firm|firmness of hand
593|हाथ कंगन|obvious proof; needs no words|bangle on the hand|wrist bracelet
594|हाथ रोक लेना|to restrain oneself|to stop the hand|restraining the hand
595|हाथी के दाँत खाना और, दिखाना और|hypocrisy; different inside vs outside|the elephant’s teeth are for eating and (others) for showing|eating elephant tusks and, showing and
596|हाथ से हाथ धो बैठना|to lose something completely|to wash hand from hand and be left sitting|Hand washing
597|हाथ धो बैठना|to suffer total loss|to wash one’s hands and sit down|washing hands
598|हाथी के पाँव में सबका पाँव|the mighty controls all|in the elephant’s foot, everyone’s foot|Everyone 's feet in the elephant 's feet
599|हाथ पर रखकर देखना|to test practically|to keep it on the hand and see|Watching by hand
600|हाथ टेक देना|to surrender|to place the hands down (in surrender)|giving a handshake
601|पैरों तले की ज़मीन हिलना|to be shocked badly|the ground under the feet to shake|shaking the ground beneath the feet
602|पैर पटकना|to throw a tantrum|to stamp the foot|footstepping
603|पैरों पर कुल्हाड़ी चलाना|to self-sabotage|to swing an axe on one’s own feet|Driving axes on feet
604|पैरों की जूती समझना|to treat with utter disdain|to consider (someone) the shoe of the feet|Understanding the Footwear
605|पैर उखड़ जाना|to lose grip or stability|for the feet to be uprooted|dislocation of the foot
606|पैरों की बेड़ियाँ|constraints that bind progress|shackles of the feet|ankle bracelets
607|पाँव पीछे हटाना|to back out|to move the foot back|withdrawing the foot
608|पैरों पर खड़ा होना|to become self-reliant|to stand on one’s feet|standing on one's feet
609|मुँह में राम, हाथ में छुरी|to be two-faced|Ram in the mouth, knife in the hand|Ram in mouth, knife in hand
610|मुँह पर लौकी रखना|to keep completely silent|to place a bottle gourd on the mouth|Putting lipstick on the mouth
611|मुँह मियाँ मिट्ठू|to boast about oneself|mouth’s own ‘Mitthu’ (parrot)|My mouth is sweet
612|मुँह का कौर छीनना|to snatch someone’s rightful share|to snatch the morsel from the mouth|removing the mucous membrane
613|मुँह का रख लेना|to save face|to keep/save the face of the mouth|keeping your mouth shut
614|मुँह की बात निकल जाना|to blurt something out|the words of the mouth to slip out|word of mouth
615|माथा ठनकना|to get suspicious suddenly|the forehead to tingle|nodding his head
616|माथा ठन जाना|to clash over ego|for foreheads to clash|tingling of the head
617|माथे पर लिखना|to be written on one’s fate/forehead|to be written on the forehead|writing on the forehead
618|माथा टेकना|to bow in submission|to bow the forehead|bow your head
619|दिल का हाल समझना|to understand true feelings|to understand the state of the heart|Understanding the Condition of the Heart
620|दिल बड़ा करना|to be generous/forgiving|to make the heart big|enlarging the heart
621|दिल छोटा करना|to get discouraged|to make the heart small|shortening the heart
622|दिल बहला फुसलाना|to console and distract|to amuse and cajole the heart|Deceiving the heart
623|दिल का धनी|large-hearted person|lord/owner of the heart|rich in heart
624|दिल खोलकर हँसना|to laugh heartily|to laugh with the heart open|Laughter from the heart
625|दिल लगा कर पढ़ना|to study diligently|to study with the heart attached|Reading with Intent
626|दिल हार बैठना|to lose one’s heart (fall in love)|to sit having lost the heart|heart failure
627|दिमाग ठनकना|to get suspicious|for the brain to tinkle/click|wheezing
628|दिमाग चकरा जाना|to get dizzy/confused|the brain to go dizzy|dizziness
629|दिमाग ठंडा रखना|to stay calm|to keep the brain cool|Keeping the Mind Cool
630|दिमाग घिसना|to use brain excessively|to grind/wear down the brain|wriggling of the brain
631|दिमाग पर जोर डालना|to strain the brain|to put pressure on the brain|Stressing the Mind
632|दिमाग सातवें आसमान पर होना|to be over the moon / cocky|the brain to be on the seventh sky|Being in the seventh heaven
633|दाँत पीसकर रह जाना|to swallow anger silently|to remain gnashing the teeth|grinding of teeth
634|दाँत नाखून दिखाना|to show aggression|to show teeth and nails|showing teeth and nails
635|दाँतों तले अंगुली आ जाना|to be stunned with surprise|for a finger to come under the teeth|Fingering under the teeth
636|दाँत खींच लेना|to break someone’s courage|to pull out the teeth|pulling teeth
637|जुबान चलती रहना|to keep blabbering|the tongue to keep running|keep the tongue moving
638|जुबान मीठी करना|to speak sweetly to please|to make the tongue sweet|sweetening the tongue
639|जुबान फँसना|to get tongue-tied|the tongue to get stuck|tongue trapping
640|जुबान दराज़ होना|to be insolent in speech|the tongue to be long|stiffness of the tongue
641|जुबान पर लगाम लगाना|to control speech|to put a bridle on the tongue|control of the tongue
642|कलेजे में आग लगना|to burn with jealousy/grief|for fire to catch in the liver|College fire
643|कलेजे में ठंडक पड़ना|to feel satisfied after justice|for coolness to fall in the liver|Having a cold in college
644|खून खौल उठना|to boil with rage|the blood to boil up|boiling of blood
645|खून खून होना|to be very close blood relations|for blood to be blood|to bleed
646|खून पिला देना|to torment someone severely|to make (someone) drink blood|bloodletting
647|खून में दौड़ना|to be in one’s nature|to run in the blood|Running in blood
648|खून पिघलना|to feel compassion|for the blood to melt|melting of blood
649|खून मांगना|to demand revenge|to demand blood|asking for blood
650|पसीना सुखाना|to exploit someone’s hard work|to dry the sweat|sweating
651|पसीना पोछना|to relieve someone’s hardship|to wipe the sweat|sweating
652|पसीना निकाल देना|to scare/work someone badly|to make the sweat come out|sweating
653|रातों की नींद हराम करना|to keep someone sleepless|to make the sleep of nights forbidden|It can be difficult to sleep at night.
654|रातों रात भाग्य बदलना|fortune to change overnight|to change fate overnight|Overnight change of fortune
655|रात काटना|to somehow pass a tough night|to cut/pass the night|spending the night
656|सिर पर चढ़ बैठना|to take undue advantage of leniency|to climb and sit on the head|sitting on the head
657|सिर पर हाथ रखना|to bless or protect|to place a hand on the head|hand on head
658|सिर पर कर्ज़ चढ़ना|to be burdened with debt|for debt to climb onto the head|In the meantime, I have to work hard to get out of debt.
659|सिर से पानी गुजरना|to cross all limits / patience|for water to pass over the head|Water passing through the head
660|सिर फोड़ लेना|to take all the blame/work alone|to break one’s head|scratching the head
661|सिर फटना|to get a splitting headache / big fight|for the head to split|bursting of the head
662|सिर घुमाना|to confuse someone|to turn/spin the head|turning of the head
663|सीना ठोकना|to boast confidently|to thump the chest|throbbing in the chest
664|सीना चौड़ा होना|to feel proud|for the chest to become broad|widening of the chest
665|सीना फुलाना|to puff up with pride|to inflate the chest|swelling of the chest
666|सीने पर पत्थर रखना|to do something painful bravely|to place a stone on the chest|Putting a stone on the chest
667|सीने में कील चुभना|to feel deep hurt|for a nail to prick in the chest|Nail piercing in the chest
668|छाती पर बोझ रखना|to keep guilt/weight on heart|to place a load on the chest|carrying a load on the chest
669|छाती धौंकनी चलना|to pant with anger/fear|for the chest’s bellows to pump|throbbing in the chest
670|छाती पर मूँग दल देना|to oppress cruelly|to grind mung beans on the chest|Plucking on the chest
671|आगाह करना|to warn in advance|to forewarn|to warn
672|आग-बबूला कर देना|to enrage someone greatly|to turn (someone) fire-furious|The burning of a fire.
673|आग में तपना|to go through severe trials|to be tempered in fire|boiling in fire
