src,true_meaning,literal_translation,mt_1,mt_2,mt_3,QE_mt_1,QE_mt_2,QE_mt_3,QE_true,QE_literal,QE_dataset_mt,DA_mt_1,DA_mt_2,DA_mt_3,DA_true,DA_literal,mt_best,QE_mt_best,mt_best_from,mt_best_DA_from,DA_mt_best,literal_gt_ref
तेल निकलना,to get exhausted completely,for oil to come out,Extract oil,Extract oil,Oiling/Getting oil/lanolin out,0.01637987419962883,0.01637987419962883,-0.1880391538143158,-0.47141364216804504,0.12992389500141144,,0.4454459249973297,0.4454459249973297,0.4091460406780243,0.9736136198043823,0.5314382910728455,Extract oil,0.01637987419962883,mt_1,mt_1,0.4454459249973297,True
तेल पानी एक होना,to be completely incompatible,for oil and water to be one,Oil and water should not mix.,Oil and water should not mix.,"Vegetable oil can be water, or it may contain some moisture. 

(Note: The original Hindi phrase ""तेल पानी एक होना"" literally translates to ""oil water may be,"" which is not a common or natural way to express this concept in English. I've provided an interpretation that better conveys the idea.)",0.45788487792015076,0.45788612961769104,-0.04709508642554283,-0.5880812406539917,0.2794625759124756,,0.4607679545879364,0.4607679843902588,0.4448927640914917,0.9732246398925781,0.4994746148586273,Oil and water should not mix.,0.45788612961769104,mt_2,mt_2,0.4607679843902588,True
तेल जलाना,to work hard late into the night,to burn oil,To light the oil (or to ignite the oil),To boil oil,To boil oil,-0.2775611877441406,-0.23160792887210846,-0.23160792887210846,-0.47982075810432434,-0.2608535587787628,,0.39878472685813904,0.3343702256679535,0.3343702256679535,0.9644740223884583,0.4208278954029083,To boil oil,-0.23160792887210846,mt_2,mt_1,0.39878472685813904,True
धन पानी की तरह बहाना,to waste money lavishly,to let wealth flow like water,Money flows like water.,Money flows like water,Money flows like water.,0.3085983991622925,0.3568601906299591,0.3085983991622925,-0.26574695110321045,-0.029492110013961792,,0.5250604748725891,0.5046407580375671,0.5250604748725891,0.9589360356330872,0.5634472966194153,Money flows like water,0.3568601906299591,mt_2,mt_1,0.5250604748725891,True
धन दौलत इकट्ठी करना,to accumulate wealth,to gather wealth and riches,To accumulate wealth and power,To accumulate wealth and power,Pooling wealth to build power,0.30430540442466736,0.30430540442466736,0.3168746531009674,0.14881345629692078,0.12317122519016266,,0.9063549041748047,0.9063549041748047,0.7659045457839966,0.9832212328910828,0.8491541743278503,Pooling wealth to build power,0.3168746531009674,mt_3,mt_1,0.9063549041748047,False
धन का घमंड होना,to be arrogant about wealth,to have pride of wealth,The fear of money,Fear of wealth,The fear of money,0.3557584881782532,0.27434009313583374,0.3557584881782532,0.19561949372291565,-0.19992199540138245,,0.6142788529396057,0.6965844035148621,0.6142788529396057,0.9858481287956238,0.804154098033905,The fear of money,0.3557584881782532,mt_1,mt_2,0.6965844035148621,False
धन के पीछे भागना,to be greedy for money,to run after wealth,Going after wealth,Going after wealth,Going after the money,0.361998587846756,0.361998587846756,0.006238974630832672,-0.24401924014091492,0.03570966422557831,,0.7098682522773743,0.7098682522773743,0.7183604836463928,0.9812390804290771,0.7076302170753479,Going after wealth,0.361998587846756,mt_1,mt_3,0.7183604836463928,True
धन का नशा चढ़ना,to be blinded by riches,for the intoxication of wealth to rise,Increasing one's wealth,Growing debt,Expanding one's wealth,-0.34910905361175537,-0.21108706295490265,-0.4046701192855835,-0.1150648295879364,-0.4887799918651581,,0.5022998452186584,0.4230749309062958,0.4893750250339508,0.9660927057266235,0.5839951038360596,Growing debt,-0.21108706295490265,mt_2,mt_1,0.5022998452186584,False
धन कमाना,to earn wealth,to earn wealth,Making money,Making money,Earning money,0.3584206700325012,0.3584206700325012,0.23213502764701843,0.10303358733654022,0.10303296148777008,,0.7422971129417419,0.7422971129417419,0.7159751057624817,0.9893125891685486,0.989312469959259,Making money,0.3584206700325012,mt_1,mt_1,0.7422971129417419,False
धन की बरसात होना,to receive great fortune,for a rain of wealth to occur,Rain of wealth,Rain of wealth,Rain of wealth,-0.1301029473543167,-0.1301029473543167,-0.1301029473543167,-0.3747800886631012,-0.018788255751132965,,0.6340174078941345,0.6340174078941345,0.6340174078941345,0.9843250513076782,0.7816316485404968,Rain of wealth,-0.1301029473543167,mt_1,mt_1,0.6340174078941345,True
धन को पानी समझना,to spend carelessly,to consider wealth as water,Understanding wealth as water,Understanding wealth as water,Understanding wealth as water,0.4378111660480499,0.4378111660480499,0.437811940908432,-0.26750311255455017,0.20104046165943146,,0.5404345393180847,0.5404345393180847,0.5404346585273743,0.9716140627861023,0.5816828608512878,Understanding wealth as water,0.437811940908432,mt_3,mt_3,0.5404346585273743,True
धन का दुरुपयोग करना,to misuse wealth,to misuse wealth,Misusing wealth,Wasting wealth,Spending money recklessly,0.7148579359054565,0.530556321144104,0.4206996262073517,0.3287030756473541,0.3287030756473541,,0.9194065928459167,0.8180752992630005,0.7805848717689514,0.9876250624656677,0.9876250624656677,Misusing wealth,0.7148579359054565,mt_1,mt_1,0.9194065928459167,False
धन देना,to offer charity or contribution,to give wealth,Giving money,Giving money,Giving money,0.021695617586374283,0.021695617586374283,0.021695617586374283,0.18405331671237946,-0.28742173314094543,,0.6129888892173767,0.6129888892173767,0.6129888892173767,0.981153666973114,0.6440463662147522,Giving money,0.021695617586374283,mt_1,mt_1,0.6129888892173767,False
नजर लगना,to be jinxed or affected by envy,for the (evil) eye to be cast,Seem,Seem,Seem,-0.8186674118041992,-0.8186674118041992,-0.8186674118041992,-0.7940674424171448,-0.8762779831886292,,0.32762646675109863,0.32762646675109863,0.32762646675109863,0.968468964099884,0.48886266350746155,Seem,-0.8186674118041992,mt_1,mt_1,0.32762646675109863,False
नजर उतारना,to remove the evil eye,to take off/ward off the eye,To look or gaze,To look/glance/skim,To look or gaze at,-0.6686537265777588,-1.0512620210647583,-0.7311669588088989,-0.6585404276847839,-0.6354462504386902,,0.5875990986824036,0.5283845067024231,0.5509681701660156,0.9689347147941589,0.5826258063316345,To look or gaze,-0.6686537265777588,mt_1,mt_1,0.5875990986824036,True
नजर बचाना,to avoid eye contact,to save oneself from the eye,"To keep the meaning and tone as closely as possible, ""नजर बचाना"" in English can be translated as ""to keep an eye on.""","To keep the meaning and tone as closely as possible, ""नजर बचाना"" in English can be translated as ""to keep an eye on.""","To keep the meaning and tone as closely as possible to the original while translating from Hindi to English, ""नजर बचाना"" can be translated as ""to keep an eye on.""",-0.25365951657295227,-0.25365951657295227,-0.15115812420845032,0.17012950778007507,-0.6526394486427307,,0.48586198687553406,0.48586198687553406,0.46977099776268005,0.9810438752174377,0.5704898834228516,"To keep the meaning and tone as closely as possible to the original while translating from Hindi to English, ""नजर बचाना"" can be translated as ""to keep an eye on.""",-0.15115812420845032,mt_3,mt_1,0.48586198687553406,False
नजर डालना,to glance or check,to cast a glance,To look,To look,To look/glance/peep/glare,-0.5212982296943665,-0.5212982296943665,-0.8387641310691833,-0.45057424902915955,-0.26370641589164734,,0.6594212651252747,0.6594212651252747,0.5767785310745239,0.9757667779922485,0.7337599396705627,To look,-0.5212982296943665,mt_1,mt_1,0.6594212651252747,True
नजर चुराना,to avoid someone intentionally,to steal/avoid the eye,Stealing eyes,Stealing eyes,Steal eyes,-0.3645438849925995,-0.3645438849925995,-0.3975430428981781,-0.4277418553829193,-0.5754129886627197,,0.4250775873661041,0.4250775873661041,0.368106871843338,0.9758962988853455,0.44306743144989014,Stealing eyes,-0.3645438849925995,mt_1,mt_1,0.4250775873661041,False
नजर रखना,to keep watch on something,to keep an eye,"To keep the meaning and tone as closely as possible, ""नजर रखना"" in English can be translated as ""to keep an eye on.""","To keep the meaning and tone as closely as possible, ""नजर रखना"" in English can be translated as ""to keep an eye on.""","To keep the meaning and tone as requested, ""नजर रखना"" in English translates to ""to keep an eye on"" or ""to watch"" or ""to monitor.""",-0.0646514892578125,-0.0646514892578125,-0.17531996965408325,-0.11198627948760986,-0.03463460132479668,,0.5640568137168884,0.5640568137168884,0.6281581521034241,0.9860191941261292,0.7469834089279175,"To keep the meaning and tone as closely as possible, ""नजर रखना"" in English can be translated as ""to keep an eye on.""",-0.0646514892578125,mt_1,mt_3,0.6281581521034241,True
नजर मिलाना,to look straight and confidently,to meet the eyes,To see/to notice/to observe,To see/to look,To see/to notice,-0.752164900302887,-0.9128887057304382,-0.7899242639541626,-0.2974793016910553,-0.227229043841362,,0.40085992217063904,0.4730241596698761,0.4264627993106842,0.9743546843528748,0.5198448300361633,To see/to notice/to observe,-0.752164900302887,mt_1,mt_2,0.4730241596698761,True
नजर में आना,to get attention or recognition,to come into sight,To see/to appear/to be noticeable,To see/in one's sight/To appear,To see/in one's sight/notice,-0.5848278403282166,-0.9148523211479187,-0.7840102314949036,-0.371300607919693,-0.5088437795639038,,0.5627639889717102,0.43495485186576843,0.42624425888061523,0.9801176190376282,0.45480361580848694,To see/to appear/to be noticeable,-0.5848278403282166,mt_1,mt_1,0.5627639889717102,False
नजर से गिरना,to lose respect in someone’s eyes,to fall from (someone’s) eyes,Looking away,Looking away,Look away,-0.4372691810131073,-0.4372691810131073,-0.43334147334098816,-0.3722493350505829,-0.7032527327537537,,0.39691823720932007,0.39691823720932007,0.4313983917236328,0.9573447108268738,0.6318959593772888,Look away,-0.43334147334098816,mt_3,mt_3,0.4313983917236328,False
नजरों में बसना,to be deeply admired or loved,to dwell in (someone’s) eyes,To settle in one's eyes,To settle in one's gaze,Stay in view,-0.4061732888221741,-0.3404969274997711,-0.3021678030490875,-0.48809292912483215,-0.5550404191017151,,0.4086677134037018,0.42185118794441223,0.3600136935710907,0.9726029634475708,0.4628453552722931,Stay in view,-0.3021678030490875,mt_3,mt_2,0.42185118794441223,False
मुँह की बात छीनना,to say what someone was about to say,to snatch the words from (someone’s) mouth,To take out the tongue,"To keep the meaning and tone as close to the original as possible, you could translate it as:

""To take out one's mouth""

This translation captures the colloquial sense of ""to talk"" or ""to speak up,"" which is implied by ""मुँह की बात"" (muhki bāt) in Hindi. However, it's worth noting that this phrasing might sound less natural in everyday English conversation. A more common",To take away someone's words/mind,-0.48973843455314636,-0.4533669650554657,-0.4678913354873657,-0.6754356026649475,-0.10625970363616943,,0.3769267797470093,0.4682637155056,0.5047093033790588,0.9607089757919312,0.6087945699691772,"To keep the meaning and tone as close to the original as possible, you could translate it as:

""To take out one's mouth""

This translation captures the colloquial sense of ""to talk"" or ""to speak up,"" which is implied by ""मुँह की बात"" (muhki bāt) in Hindi. However, it's worth noting that this phrasing might sound less natural in everyday English conversation. A more common",-0.4533669650554657,mt_2,mt_3,0.5047093033790588,True
रूठा मन मनाना,to reconcile after disagreement,to coax the sulking mind/heart,Whispering to one's mind,Speak your mind to each other,Mourning silently,-0.7658778429031372,-0.6224667429924011,-0.40173259377479553,-0.5560281872749329,-0.5534394383430481,,0.36679956316947937,0.4836665689945221,0.4406057894229889,0.9674537777900696,0.48730790615081787,Mourning silently,-0.40173259377479553,mt_3,mt_2,0.4836665689945221,True
मन बनना,to decide willingly,for the mind to be made,To be born,To be born,To be born,-0.8723457455635071,-0.8723457455635071,-0.8723457455635071,-0.490682989358902,-0.8241916298866272,,0.4562639892101288,0.4562639892101288,0.4562639892101288,0.970432698726654,0.46031513810157776,To be born,-0.8723457455635071,mt_1,mt_1,0.4562639892101288,False
मन भरना,to lose interest or get satisfied,for the mind to fill/satiate,Fill my heart,Fill my heart,Fill my heart,-0.2802378833293915,-0.2802378833293915,-0.2802378833293915,-0.5812836289405823,-0.6006947159767151,,0.39360034465789795,0.39360034465789795,0.39360034465789795,0.9682186841964722,0.5894013047218323,Fill my heart,-0.2802378833293915,mt_1,mt_1,0.39360034465789795,False
मन लगाना,to stay focused,to set the mind (on),To put one's heart into it,To put one's heart into it,To put one's heart into it,-0.4639859199523926,-0.4639859199523926,-0.4639859199523926,-0.5954303741455078,-0.9146515130996704,,0.5444794297218323,0.5444794297218323,0.5444794297218323,0.982928454875946,0.5736826658248901,To put one's heart into it,-0.4639859199523926,mt_1,mt_1,0.5444794297218323,False
मन मारना,to suppress one’s desires,to kill/suppress the mind,Toxic to the soul,Toxic to the soul,Touching one's heart/spirit/knocking one's conscience,-0.5520524382591248,-0.5520521402359009,-0.6520403027534485,-0.6096531748771667,-0.6656093001365662,,0.4754938781261444,0.4754938781261444,0.4482162296772003,0.966381847858429,0.6206368207931519,Toxic to the soul,-0.5520521402359009,mt_2,mt_1,0.4754938781261444,False
मन में बैठना,to be convinced deeply,to sit in the mind,Stay in one's mind,Stay in one's mind,Stay in one's mind,-0.31878578662872314,-0.31878578662872314,-0.31878578662872314,-0.4861672818660736,-0.3369537591934204,,0.4398632347583771,0.4398632049560547,0.4398632049560547,0.9710248112678528,0.5049816966056824,Stay in one's mind,-0.31878578662872314,mt_1,mt_1,0.4398632347583771,True
मन में बात रखना,to keep things inside,to keep the matter in the mind,Keep it to oneself,Keep it to myself/Hide it in my mind,Keep it to myself/to myself,-0.19328127801418304,-0.026070725172758102,-0.7027039527893066,-0.3550012409687042,-0.0378778874874115,,0.7106708884239197,0.7053459882736206,0.5404823422431946,0.9805110096931458,0.6394382119178772,Keep it to myself/Hide it in my mind,-0.026070725172758102,mt_2,mt_1,0.7106708884239197,True
मन बहलाना,to divert oneself pleasantly,to amuse/entertain the mind,To rest one's mind,Rest your mind,Rest your mind,-0.28414982557296753,-0.28003862500190735,-0.28003862500190735,-0.5720458626747131,-0.04541821405291557,,0.6040838360786438,0.5050997138023376,0.5050997138023376,0.9618341326713562,0.6881216168403625,Rest your mind,-0.28003862500190735,mt_2,mt_1,0.6040838360786438,True
मन से उतरना,to lose affection for someone,to come down from the heart/mind (lose favor),Come from the heart,Come from the heart,Come from the heart,-0.25614017248153687,-0.25614020228385925,-0.25614017248153687,-0.32820677757263184,-0.4299434423446655,,0.411137193441391,0.411137193441391,0.411137193441391,0.9746176600456238,0.4993686378002167,Come from the heart,-0.25614017248153687,mt_1,mt_1,0.411137193441391,False
मनमानी करना,to act selfishly or on one’s own terms,to do according to one’s own mind,Thinking about it,Thinking about it,Thinking about it,-0.26639026403427124,-0.26639026403427124,-0.26639026403427124,-0.30646800994873047,-0.5492582321166992,,0.40716788172721863,0.40716788172721863,0.40716788172721863,0.9730371832847595,0.7443047165870667,Thinking about it,-0.26639026403427124,mt_1,mt_1,0.40716788172721863,False
दो नावों पर सवार होना,to try doing two opposite things at once,to ride on two boats,Riding on two horses,Riding on two horses,Riding on two horses,0.28774547576904297,0.28774547576904297,0.28774547576904297,-0.029975969344377518,0.1092396229505539,,0.40793076157569885,0.40793076157569885,0.40793076157569885,0.9715204238891602,0.4465046525001526,Riding on two horses,0.28774547576904297,mt_1,mt_1,0.40793076157569885,True
दूध का जला छाछ भी फूंककर पीता है,"once bitten, twice shy",one burned by milk even blows on buttermilk before drinking,The milk is stirred with cream as well.,The milk is stirred with cream as well,The person churns the milk with the cream and drinks it.,-0.4517984688282013,-0.4481193721294403,-0.08519639074802399,-0.580283522605896,-0.16668419539928436,,0.3754027783870697,0.3776565492153168,0.35384616255760193,0.9530627727508545,0.4123819172382355,The person churns the milk with the cream and drinks it.,-0.08519639074802399,mt_3,mt_2,0.3776565492153168,True
"दूध का दूध, पानी का पानी करना",to reveal the truth or clarify everything,to make milk (be) milk and water (be) water,"To milk the milk, to water down","To milk a cow, water into water","To milk a cow, drink its milk.",-0.6104643940925598,-0.5128626227378845,-0.47415825724601746,-0.6560801863670349,-0.6819397211074829,,0.4105099141597748,0.38484200835227966,0.3765990436077118,0.9550275206565857,0.4059894382953644,"To milk a cow, drink its milk.",-0.47415825724601746,mt_3,mt_1,0.4105099141597748,False
दूध में मक्खी की तरह,an unwanted person in a good place,like a fly in milk,Butter like cream,Buttermilk-like in milk,Buttermilk-like in milk,-0.39829781651496887,-0.730661928653717,-0.730661928653717,-0.6367711424827576,-0.22333282232284546,,0.34865203499794006,0.33982881903648376,0.33982881903648376,0.938740074634552,0.40331125259399414,Butter like cream,-0.39829781651496887,mt_1,mt_1,0.34865203499794006,True
दूध का कर्ज चुकाना,to repay parents' love and care,to repay the debt of milk,Collecting milk,To collect milk,Getting milk delivered,-0.007972467690706253,-0.2139274924993515,0.007348485291004181,0.0006231628358364105,0.17976276576519012,,0.44595444202423096,0.4734959304332733,0.5121604204177856,0.980540931224823,0.714453399181366,Getting milk delivered,0.007348485291004181,mt_3,mt_3,0.5121604204177856,True
दूध में नीम का पत्ता,something that ruins a good thing,a neem leaf in milk,Milk with a fenugreek leaf,Milk with a fenugreek leaf,Cow's milk contains bean leaves,0.1337520033121109,0.1337520033121109,0.32485613226890564,-0.5107915997505188,-0.10925953090190887,,0.4044143259525299,0.4044143259525299,0.3603001832962036,0.9662830233573914,0.3814217746257782,Cow's milk contains bean leaves,0.32485613226890564,mt_3,mt_1,0.4044143259525299,True
दूध का दूध अलग करना,to identify right and wrong clearly,to separate milk as milk,To make milk milk,Making milk milk,To make milk milk,-0.2406095564365387,-0.24462011456489563,-0.2406095564365387,-0.16169387102127075,-0.3219026029109955,,0.3526964485645294,0.3574291169643402,0.3526964485645294,0.9778712391853333,0.4177224040031433,To make milk milk,-0.2406095564365387,mt_1,mt_2,0.3574291169643402,False
दूध की धार बनना,to prosper or flourish,to become a stream/jet of milk,Making milk curdle,Making milk curdle,To make milk curdle,-0.27117857336997986,-0.2711789906024933,-0.3869190514087677,-0.4196781814098358,-0.17581163346767426,,0.35457393527030945,0.3545739948749542,0.4013378918170929,0.9738056659698486,0.4277263581752777,Making milk curdle,-0.27117857336997986,mt_1,mt_3,0.4013378918170929,True
दूध पीता बच्चा नहीं हूँ,I’m not naive anymore,I am not a milk-drinking child,The child does not drink milk.,The child does not drink milk.,The child does not drink milk.,0.47312086820602417,0.47312086820602417,0.47312086820602417,-0.18078270554542542,0.41791126132011414,,0.5118763446807861,0.5118763446807861,0.5118763446807861,0.9858958125114441,0.5473750233650208,The child does not drink milk.,0.47312086820602417,mt_1,mt_1,0.5118763446807861,True
दूध की नदियाँ बहाना,to dream of prosperity,to make rivers of milk flow,The milk veins flow,The veins of milk flow,Butte of milk,-0.17256391048431396,-0.19427375495433807,-0.5713894963264465,-0.5663735270500183,-0.21199683845043182,,0.4002567231655121,0.42847326397895813,0.3867802321910858,0.9686173796653748,0.4828086793422699,The milk veins flow,-0.17256391048431396,mt_1,mt_2,0.42847326397895813,True
घर की मुर्गी दाल बराबर,to undervalue what one has,the chicken of the house equals lentils,Roast chicken with dal,Roast chicken with dal is equal.,Roast chicken and dal are equal.,-0.2848314940929413,-0.35587775707244873,-0.3462560176849365,-0.5723550319671631,-0.44773659110069275,,0.3681658208370209,0.43197518587112427,0.43268904089927673,0.9651300311088562,0.42309069633483887,Roast chicken with dal,-0.2848314940929413,mt_1,mt_3,0.43268904089927673,True
घर फूँक तमाशा देखना,to risk everything for curiosity,to burn the house and watch the show,Watching a fire show at home,Watching a fire show at home,Watching a fire performance at home,0.10509873926639557,0.10509873926639557,-0.08185508847236633,-0.4278845489025116,-0.17795780301094055,,0.5129067301750183,0.5129067301750183,0.5255396962165833,0.9778614044189453,0.47284749150276184,Watching a fire show at home,0.10509873926639557,mt_1,mt_3,0.5255396962165833,True
घर का भेदी लंका ढाए,an insider can cause great harm,the insider of the house topples Lanka,"The house is divided, Lanka has fallen.",The separation of the house is complete.,The distinction inside the home has been blurred.,-0.5695707201957703,-0.44455501437187195,-0.42660483717918396,-0.540153980255127,-0.5609618425369263,,0.4932663142681122,0.4310961961746216,0.52220219373703,0.9585015773773193,0.5125830173492432,The distinction inside the home has been blurred.,-0.42660483717918396,mt_3,mt_3,0.52220219373703,False
घर की बात बाहर निकलना,to leak private matters,the house’s talk to go outside,Talking about home matters outside,Talking about home matters outside,Letting household matters spill out externally,-0.13897572457790375,-0.13897572457790375,0.23841319978237152,-0.10582171380519867,-0.6474171876907349,,0.5807796716690063,0.5807796716690063,0.7524372339248657,0.974669873714447,0.5107223391532898,Letting household matters spill out externally,0.23841319978237152,mt_3,mt_3,0.7524372339248657,False
घर बसाना,to settle down or start a family,to set up/build a home,To settle in/home,To settle down/home,To settle down/home,-0.6179944276809692,-0.5715194940567017,-0.5715194940567017,-0.10113844275474548,0.0005384460091590881,,0.6810503602027893,0.7281405329704285,0.7281405329704285,0.981465756893158,0.6569367051124573,To settle down/home,-0.5715194940567017,mt_2,mt_2,0.7281405329704285,True
घर उजड़ना,to lose everything,the home to be ruined,To scratch one's itch/home,To sleep in (or go to sleep),To scratch one's itch/home,-0.8686930537223816,-0.8258408904075623,-0.8686930537223816,-0.49006810784339905,-0.14171026647090912,,0.37269261479377747,0.3724704682826996,0.37269261479377747,0.9848875403404236,0.5724331140518188,To sleep in (or go to sleep),-0.8258408904075623,mt_2,mt_1,0.37269261479377747,True
घर में घुसकर मारना,to attack boldly,to enter the house and beat,Stabbing someone while they are inside their home,Attacking from inside the house,Attacking from inside the house,-0.2618119418621063,-0.15898087620735168,-0.15898087620735168,-0.7039467096328735,-0.3820836842060089,,0.430715948343277,0.5611153244972229,0.5611153244972229,0.970262885093689,0.5805730819702148,Attacking from inside the house,-0.15898087620735168,mt_2,mt_2,0.5611153244972229,True
घर का रास्ता भूल जाना,to wander aimlessly or forget priorities,to forget the way home,Getting lost on the way home,Getting lost on the road to home,Getting lost on the road to the house,0.17239424586296082,0.2900019884109497,0.207838773727417,-0.15645375847816467,0.1781386137008667,,0.5405594706535339,0.5549863576889038,0.5297081470489502,0.9713726043701172,0.5533835887908936,Getting lost on the road to home,0.2900019884109497,mt_2,mt_2,0.5549863576889038,True
घर आँगन में झगड़ा,domestic disputes,a quarrel in the house courtyard,House argument in the living room,Argument in the living room,House argument in the living room,-0.4483543038368225,-0.3493801951408386,-0.4483543038368225,0.168870210647583,0.3660644590854645,,0.6056258082389832,0.6611127257347107,0.6056258082389832,0.9868396520614624,0.612278401851654,Argument in the living room,-0.3493801951408386,mt_2,mt_2,0.6611127257347107,True
घर की लक्ष्मी,a woman considered the prosperity of a home,the house’s Lakshmi,Home Luck,Home Luck,Happiness at Home,-0.31718531250953674,-0.31718531250953674,-0.11802677810192108,-0.28129884600639343,-0.44795310497283936,,0.49868378043174744,0.49868378043174744,0.49001404643058777,0.9534127712249756,0.5870797038078308,Happiness at Home,-0.11802677810192108,mt_3,mt_1,0.49868378043174744,False
आम के आम गुठलियों के दाम,double benefit from one effort,"mangoes as mangoes, pits for a price too",Price of common mango groves,Cost of common mango groves,Price of common mango groves,-0.09388361871242523,-0.1776989996433258,-0.09388361871242523,-0.6742769479751587,-0.747869610786438,,0.46009013056755066,0.46800172328948975,0.46009013056755066,0.9806419014930725,0.37782225012779236,Price of common mango groves,-0.09388361871242523,mt_1,mt_2,0.46800172328948975,False
आम रास्ता पकड़ना,to take the easy or common way,to take the common road,To grab the main road,Taking the main road,To pick up the usual route,-0.31780847907066345,-0.04952187463641167,-0.09521864354610443,0.24484339356422424,-0.024296730756759644,,0.6946554780006409,0.7388524413108826,0.6275798678398132,0.9843339323997498,0.8510368466377258,Taking the main road,-0.04952187463641167,mt_2,mt_2,0.7388524413108826,False
आम आदमी,a common man,common man,Average person,Average person,Average person,-0.24073293805122375,-0.24073293805122375,-0.24073293805122375,0.30864688754081726,0.27070456743240356,,0.546159029006958,0.546159029006958,0.546159029006958,0.9905142188072205,0.9567402601242065,Average person,-0.24073293805122375,mt_1,mt_1,0.546159029006958,False
आमदनी अठन्नी खर्चा रुपैया,expenses exceeding income,"income half a rupee, expense a rupee",Income of nine thousand rupees,Income of eleven thousand rupees,Income of eleven thousand rupees,-0.2531045079231262,-0.20976245403289795,-0.20976245403289795,-0.13539624214172363,-0.22512587904930115,,0.4722784459590912,0.5023199915885925,0.5023199915885925,0.9765508770942688,0.5155112147331238,Income of eleven thousand rupees,-0.20976245403289795,mt_2,mt_2,0.5023199915885925,False
"आम खाने वाले बनो, पेड़ मत गिनो",enjoy benefits without overanalyzing,"be mango-eaters, don’t count the trees","Grow into good eaters, don't count the trees.","Grow into good eaters, don't count the trees.","Be a good eater, don't count the trees.",-0.41945648193359375,-0.41945648193359375,-0.4127928912639618,-0.10495591163635254,-0.4054890275001526,,0.4541565179824829,0.4541565179824829,0.4812679588794708,0.9802468419075012,0.4797811806201935,"Be a good eater, don't count the trees.",-0.4127928912639618,mt_3,mt_3,0.4812679588794708,False
आमदनी बढ़ाना,to increase income,to increase income,Increasing the deposit,Increasing income,Increasing income,-0.15898841619491577,0.08666224777698517,0.08666224777698517,0.09096705913543701,0.09096705913543701,,0.6381213068962097,0.8928050398826599,0.8928050398826599,0.9895691871643066,0.9895691871643066,Increasing income,0.08666224777698517,mt_2,mt_2,0.8928050398826599,False
अंधे के हाथ बटेर लगना,to get lucky unexpectedly,a quail falling into a blind person’s hand,"To translate ""अंधे के हाथ बटेर लगना"" into natural English, we need to consider the context and meaning of the phrase. This appears to be a colloquial or idiomatic expression that might not have an exact equivalent in standard English. However, a plausible translation could be:

""Blind people putting on gloves""

This translation captures the essence of the phrase, suggesting a situation where blind individuals are taking some",Having blind hands to scratch,"To translate this phrase, we need to consider the meaning and context. ""अंधे"" means ""blind,"" and ""हाथ बटेर"" means ""handkerchief."" However, the phrase is idiosyncratic and doesn't follow standard English syntax. Given that it's likely an onomatopoeic expression or a colloquial term, a natural English translation could be:

English: To have one's handkerchief used by",-0.49934646487236023,-0.6629303097724915,-0.601082980632782,-0.7693970799446106,-0.38183289766311646,,0.3966982364654541,0.42296352982521057,0.39414671063423157,0.9788091778755188,0.4054337739944458,"To translate ""अंधे के हाथ बटेर लगना"" into natural English, we need to consider the context and meaning of the phrase. This appears to be a colloquial or idiomatic expression that might not have an exact equivalent in standard English. However, a plausible translation could be:

""Blind people putting on gloves""

This translation captures the essence of the phrase, suggesting a situation where blind individuals are taking some",-0.49934646487236023,mt_1,mt_2,0.42296352982521057,True
अंधा कानून,law that doesn’t see right and wrong,blind law,Dark Law,Dark Law,Dark law,0.136749267578125,0.136749267578125,0.43495044112205505,-0.10860040783882141,0.1990268975496292,,0.47665324807167053,0.47665324807167053,0.5620279908180237,0.9800078272819519,0.5169921517372131,Dark law,0.43495044112205505,mt_3,mt_3,0.5620279908180237,True
अंधेरे में तीर चलाना,to try without knowledge,to shoot an arrow in the dark,Casting a spear in the dark,Casting a spear in the dark,"To translate ""अंधेरे में तीर चलाना"" into natural English, we get:

""Swinging a spear in darkness""

This conveys the literal meaning of the phrase while maintaining its poetic or metaphorical nuance.",-0.34068432450294495,-0.34068432450294495,-0.1774282455444336,-0.5066385865211487,-0.13809716701507568,,0.4571029543876648,0.4571029543876648,0.46110349893569946,0.9721418023109436,0.518217146396637,"To translate ""अंधेरे में तीर चलाना"" into natural English, we get:

""Swinging a spear in darkness""

This conveys the literal meaning of the phrase while maintaining its poetic or metaphorical nuance.",-0.1774282455444336,mt_3,mt_3,0.46110349893569946,True
अंधे को अंधेरे में बहुत दूर की सूझी,to overestimate one’s own understanding,"to a blind person, in darkness, perceiving the far-off",The image of darkness in darkness very far away,The image of darkness in darkness very far away,The image flashes very far into the darkness for the blind.,-0.4232098460197449,-0.4232098460197449,0.16621939837932587,-0.5405562520027161,-0.23576751351356506,,0.39645203948020935,0.39645203948020935,0.4507547616958618,0.9592899680137634,0.44552281498908997,The image flashes very far into the darkness for the blind.,0.16621939837932587,mt_3,mt_3,0.4507547616958618,True
अंधे के हाथ में आइना,a useless thing in wrong hands,a mirror in a blind person’s hand,A mirror in the hands of the blind,A mirror in the hands of the blind,A mirror in the hands of the blind,0.41569310426712036,0.4156927764415741,0.4156927764415741,0.0005532503128051758,0.22680799663066864,,0.5907032489776611,0.5907031893730164,0.5907031893730164,0.978651762008667,0.5868918299674988,A mirror in the hands of the blind,0.41569310426712036,mt_1,mt_1,0.5907032489776611,True
