src,true_meaning,literal_translation
垂手而得,Acquire a thing easily,Hand in hand
城门失火，殃及池鱼,In a disturbance innocent bystanders get into trouble,"Fire at the city gate, bringing disaster to Chiyu"
城下之盟,Treaty made under coercion,Alliance under the city
坚壁清野,Strengthen the bulwarks and leave no provisions outside,Strong wall and clear field
塞翁失马，焉知非福,Loss sometimes spells gain,"Sai Weng lost his horse, how can know it is not a blessing"
墨守成规,Stick to established practice,Stick to the rules
外强中干,Strong in appearance but weak in reality,Strong in the outside world
多多益善,The more the merrier,The more the better
多行不义必自毙,"If one keeps on doing unrighteous deeds, he is bound to come to ruin",Unjust is doomed to destruction
夙兴夜寐,Rise early and retire late,Suxing sleepy night
夜长梦多,A long delay means many hitches,Night long dream
夜以继日,Day and night,Around the clock
大风大浪,Violent storms and waves,Strong wind and waves
大敌当前,Confronted by the sworn enemies (or a formidable enemy),The enemy is currently
大海捞针,Search (or look) for a needle in a haystack,Looking for a needle in a haystack
大旱望云霓,Long for a rain cloud during a drought,Great Drought Wang Yunni
大惊小怪,A storm in a teacup,Make a fuss
大权旁落,Power has fallen into the hands of others,Falling in power
大显神通,Show what one is capable of,Show off your supernatural powers
大显身手,Display one's talents (or skill) to the full,Show your talents
大兴土木,Go for large-scale construction,Daxing civil engineering
大处着眼，小处着手,Keep the general goal in sight and take the daily tasks in hand,"Think big, start small"
大是大非,Major issues of principle,Big right and wrong
大势所趋,The trend of the times,The general trend
大势已去,The game is as good as lost,The tide is gone
大杀风景,Dampen the spirit,Big kill scenery
大书特书,Write volumes about,Big book special book
大慈大悲,Infinite compassion and mercy,Great mercy and great compassion
大有人在,There are plenty of such people,A lot of people are there
大有作为,Be able to develop one's ability to the full,Make a difference
大鱼吃小鱼,The great fish eat up the small,Big fish eat small fish
天不怕，地不怕,Nothing daunted,"Not afraid of the sky, not afraid of the earth"
天高地厚,Complexity of things,The sky is high and the earth is thick
天下太平,All will be right with the world,Peace in the world
天下无双,Unequalled in all the world,Second to none
天下乌鸦一般黑,Evil people are bad all over the world,The world is as black as a crow
天字第一号,The world's number one,Tianzi No. 1
天造地设,Heavenly,Made in heaven
天有不测风云,Something unexpected may happen any time,Accidents will happen
天网恢恢，疏而不漏,God's justice is inescapable,"The sky net is prosperous, sparse but not missed"
太公钓鱼，愿者上钩,Willingly play into somebody's hands,"Taigong fishing, willing to take the bait"
太岁头上动土,Provoke somebody far superior in power or strength,Ground breaking on Tai Sui's head
失之东隅，收之桑榆,Make up on the roundabouts what you lose on the swings,"Lost in the east, harvested mulberry"
失魂落魄,Be scared out of one's wits,Driven to distraction
奇货可居,Hoard as a rare commodity to corner the market,Strange goods to live in
奇文共赏,A remarkable work should be shared and its subjects discussed,Rewards for bizarre writing
奉陪到底,Take somebody on right to the very end,Accompany to the end
奉行故事,Fellow old customs,Pursue the story
奉若神明,Revere something as sacred,Worship as a god
奔走相告,Lose no time in telling each other the news,Tell each other
好汉不吃眼前亏,A wise man doesn't fight against impossible odds,A good man does not suffer from immediate losses
如梦初醒,"Come to realize (truth, error, etc.)",Waking up from a dream
如法炮制,Do according to instructions,Do the same
如汤沃雪,Easily done,Ru Tang Wo Xue
如鸟兽散,Flee helter-skelter,Scattered like birds
如狼牧羊,(of magistrates) rule the people oppressively,Like wolves shepherding sheep
如狼似虎,Like cruel beasts of prey,Wolf like tiger
如临大敌,Tense as a cat humping its back,As the enemy
如履薄冰,As if walking on thin ice,Walking on thin ice
如鲠在喉,Like a fishbone getting stuck in the throat,Stuck in the throat
如虎添翼,With might redoubled,Even more powerful
如获至宝,Seem to have hit the jackpot,If you get a treasure
如火如荼,Fiery,In full swing
如箭在弦,Poised to strike,Like an arrow
如堕五里雾中,Utterly mystified,Like falling into a fog
如数家珍,Can speak on a subject with great familiarity,Like a treasure
如日中天,To ride on the crest of success,In full swing
如入无人之境,Breaking all resistance,Like no one
如坐针毡,Feel as if sitting on a bed of nails,Like on pins and needles
如此而已,That's what it all adds up to,That is it
如丧考妣,Look as if one had Lost one's parents,Such as mourning
如蚁附膻,A swarm of people running after unwholesome things or leaning on influential people for support,Like an ant
如影随形,Like the shadow following the person,Follow the shadows
如鱼得水,Like fish let into the water,Like a fish in water
如愿以偿,Achieve what one wishes,Get your wish
姑息养奸,Toleration (or to be tolerant) tends to breed traitors,Appease the rape
姑妄听之,Just let him talk and let's just listen,I'll listen to it
姑妄言之,Tell somebody something for what it's worth,I lied to you
威信扫地,Completely discredited,Prestige sweeps the floor
嫁祸于人,Put blame on others,Put the blame on someone
字斟句酌,Choose one's words with great care,Weigh every word
孝子贤孙,Filial offspring,Filial son and grandson
孤行己见,Follow one's own bigoted course,Go your own way
孤注一掷,Stake everything on a single throw,Put all one's eggs in one basket
学而不厌,Have an insatiable desire to learn,Never tire of learning
学以致用,Learn in order to practise,Apply what you have learned
守株待兔,Wait for gains without pains,Wait for the rabbit
安不忘危,In time of peace do not forget danger,Don't forget the danger
安居乐业,Quite contented with one's life and work,Live and work in peace
安如泰山,Like a rock,Safe as Mount Tai
安营扎寨,Camp,Set up camp
安于现状,Be content with things as they are,Be content with the status quo
完璧归赵,Return a thing whole to its owner,Return to Zhao
官逼民反,The ruler's persecution drives (or forces) the people to rebel,Officials force the people to rebel
官官相护,Bureaucrats shield each other (or one another),Officials protect each other
家给人足,Each family is provided for and,Home gives food
家丑不可外扬,Don't wash your dirty linen in public,Ugly can't be made public
密云不雨,Trouble is brewing,Cloudy but no rain
寄人篱下,Live under another's roof,Under the fence
寅吃卯粮,Draw one's pay in advance,Yin eat Mao grain
富国强兵,Enrich the nation and increase its military power,Rich country and strong army
富贵不能淫,Neither riches nor honors can corrupt one (or can lead one astray),Wealth cannot be promiscuous
宁缺毋滥,Would rather go without (something) than be contented with anything less satisfactory,Rather lack than abuse
宁死不屈,Death before dishonor,Would rather die than yield
宁为鸡口，无为牛后,Would rather be a leader anywhere then a follower,I'd rather be a chicken's mouth than a cow's queens
宁为玉碎，不为瓦全,Better to die in glory than survive with dishonor,Rather Stick to your guns
寥若晨星,Few and far between,Few morning stars
实事求是,Be practical and realistic,Seek truth from facts
审时度势,Judge the hour and size up the situation,Check the situation
寸步难行,Cannot walk (or move) a single step,Hard to move
寸土必争,Contest every inch of land,Every inch of land matters
寸金难买寸光阴,Time is more precious than gold,An inch of gold is hard to buy an inch of time
封官许愿,Promise high posts and other favors,Make a wish
将功补过,Make up for one's faults by good deeds,Make up for
将欲取之，必先予之,"In order to take, one must first give","If you want to take it, you must first give it"
尊师重道,Honor the teacher and respect his teachings,Respect for teachers
寻章摘句,Write in clichés without originality,Chapter search excerpt
寻死觅活,Repeatedly attempt suicide (in order to threaten),Looking for life
对牛弹琴,Talk over people's heads,Play the piano to the cow
对症下药,Administer medicine according to the diagnosis,Prescribe the right medicine
小不忍则乱大谋,Lack of forbearance in small matters upsets great plans,A small leak will sink a great ship
小丑跳梁,A contemptible wretch making trouble,Clown jumping beam
小试锋芒,Display only a small part of one's talent,Small test edge
小手小脚,Timid,Small hands and feet
少不更事,Young and little-experienced,Less is more
少头无尾,Unfinished,Little head and no tail
少壮不努力，老大徒伤悲,Laziness in youth spells regret in old age,"Young idler, an old beggar"
稍安勿躁,Don't be impatient,Don't be restless
尺短寸长,Everyone has his strong and weak points,Short size long
尾大不掉,(of an organization) too cumbersome to be effective,The tail is too big
居安思危,Maintain vigilance in peace time,Be prepared for danger
屈打成招,Confess to false charges under torture,Bend into a trick
层出不穷,(of good deeds) spring up one after another,Emerge in endlessly
山高水长,High as mountains and long as rivers - one's nobility or reputation lasts forever,High mountains and long waters
山穷水尽,"At the end of one's rope (means, tether or resources)",The mountains and rivers are exhausted
山雨欲来风满楼,The turbulent wind precedes the mountain storm,"The rain is coming, the wind is filling the building"
川流不息,Uninterrupted flow,The flow is endless
左道旁门,Heresy,Left side door
左右开弓,Box somebody on both ears,Bow left and right
巧妇难为无米之炊,You can't make something out of nothing,Make bricks without straw
巧立名目,Concoct various pretexts,Create a name
差之毫厘，谬以千里,One false move may lose the game,The difference is a thousand miles away
师直为壮,An army fighting for a just cause has high morale,Teachers are strong
席不暇暖,Be constantly on the go,Can't wait to get warm
平步青云,Have a meteoric rise,Step into the sky
平分秋色,"(of two parties) have equal shares (of honor, power, glory, etc.)",Have equal shares
平地一声雷,A sudden big change,Thunder on the ground
平起平坐,Sit as equals at the same table with,Sit on an equal footing
年高德劭,Of venerable age and eminent virtue,Nian Gaode Shao
年深日久,With the passage of time,Years go by
度日如年,One day seems to be as long as one year,Days are like years
庸中佼佼,A giant among dwarfs,The best of the best
广开言路,Encourage the free airing of views,Open the way
庐山真面目,One's true colors,The true face of Mount Lu
弄假成真,What was make-believe has become reality,Make a fake
引而不发,Draw the bow but not discharge the arrow,Lead but not
引为鉴戒,Take warning,As a warning
弱肉强食,The weak at the mercy of the strong,The strong eat the weak
张冠李戴,Confuse one thing with another,Zhang Guan and Li Dai
张皇失措,Lose one's head,Zhang Huang was at a loss
张三李四,"Any Tom, Dick or Harry",Zhang San Li Si
张牙舞爪,Show one's fangs and claws,Open your teeth and dance your claws
张弩之末,On the decline and no longer what it was,The end of the crossbow
强奸民意,Defile public opinion,Rape public opinion
强将手下无弱兵,There are no poor soldiers under a good general,Strong generals have no weak soldiers
强中自有强中手,"However strong you are, there's always someone stronger",Strong in own strong hand
强人所难,Try to make somebody do something which he won't or can't,The strong man is difficult
弹冠相庆,Congratulated each other on the prospect of getting good appointments,Celebrating with the crown
弹尽粮绝,Exhaust (or run out of) ammunition and food supplies,Run out of ammunition
形影相吊,Alone,Hanging from each other
彼一时，此一时,"The times are different, not comparable","That moment, this moment"
往返徒劳,Run back and forth in vain,Round trip in vain
待价而沽,Wait for the right price to sell,Up for sale
后浪推前浪,Waves push waves,Back waves push forward waves
得不偿失,The loss outweighs the gain,Not worth the loss
得道多助，失道寡助,A just cause enjoys abundant support while an unjust cause finds little (or meagre) support,"Moral support from many, scant support"
得胜归来,Return with flying colors,Come back victorious
得意忘形,Get dizzy with success,Get carried away
得鱼忘筌,Ungrateful,Forget the fish
从长计议,Take more time to consider it,Think long term
从容不迫,With ease,Take it easy
从容就义,Meet one's fate calmly,Take it easy
循规蹈矩,Follow the custom or law,Follow the rules
微言大义,Subtle and profound language,Small words and righteousness
德才兼备,Equal stress on integrity and ability,Both ability and political integrity
心乱如麻,Be in a stew,Be terribly upset
心宽体胖,Fit and happy,Wide-hearted and fat
心口如一,Say what one thinks,Heart is the same
心血来潮,Be seized by a whim,On a whim
心心相印,Hearts beat as one,Heart to heart
心如刀割,Be pierced with grief,Heart like a knife
心有灵犀一点通,Hearts which have a common beat are linked,Minds think alike
心有余而力不足,"The spirit is willing, but the flesh is weak",Overwhelmed but underpowered
忍俊不禁,Cannot help smiling,Can't help laughing
忍气吞声,Suffer indignities without a protest,Swallow your breath
志大才疏,Have great ambition but little talent,Zhi Da Cai Shu
忘乎所以,Forget oneself in one's elation,Get carried away
快马加鞭,Work at top speed,Quicken the horse
快刀斩乱麻,Cut the Gordian knot,Cut through the mess
怒火中烧,Simmer with rage,Burning with anger
急来抱佛脚,Seek help at the last moment,Hurry to cradle
急转直下,"(of the march of events, etc.) take a sudden turn and then develop rapidly",Go straight down
急中生智,Show resourcefulness in an emergency,Wisdom in a hurry
恒河沙数,As numerous as the sands of the Ganges,Ganges sand count
恍同隔世,As if being cut off from the outside world for ages,As if separated from each other
恨铁不成钢,Wish iron could turn into steel at once,Hate that iron is not steel
恨之入骨,Harbor bitter hatred toward somebody,Hatred to the bone
恪守不渝,Strictly abide by (or stick to),Abide by it
悖入悖出,"Ill-gotten, ill-spent",Contradicting in and out
患得患失,Think in terms of personal gain and loss,Worry about gain and loss
患难之交,Friendship made during adversity,Friends in need
患难与共,Go through thick and thin together,Share weal and woe
情不自禁,Cannot help (doing something),Can't help it
惜墨如金,"(of a writer, calligrapher, painter) abstemious in his use of ink",Cherish ink like gold
悲喜交集,Mixed feelings of grief and joy,Mixed sorrows and joys
惺惺相惜,The wise appreciate one another,Cherish each other
想方设法,Do everything possible,Find a way
意在言外,The meaning is implied,Meaning beyond words
愚公移山,The Foolish Old Man who moved the mountains,Yugong Moves Mountains
愚者千虑，必有一得,Even a fool occasionally hits on a good idea,"Fools have a thousand worries, and they will have something"
爱不释手,Reluctant to give up,Can't put it down
爱屋及乌,"Love me, love my dog",Love House and Wu
慢条斯理,Leisurely,Take it easy
忧患余生,The remaining years after going through a great deal,Worry for the rest of my life
应付自如,Cope with successfully,Cope with ease
应对如流,Give fluent replies,Coping with flow
应运而生,Emerge as the times require,Came into being
惩前避后,Take a lesson from the past and avoid future mistakes,Punishment before and after avoidance
惩一儆百,Make an example of somebody,Punish one and warn one hundred
悬崖勒马,Stop (doing something) before it is too late,Rein in the cliff
成龙配套,Link up the parts to form a whole,Jackie Chan Package
成家立业,Get married and start one's career,Start a family
戒骄戒躁,Guard against pride and rashness,Guard against arrogance
我行我素,Persist in one's old way (no matter what others say),Go my own way
截趾适履,Cut the toes to fit the shoes,Amputated toe fit
截长补短,Balance the score,Truncate long and short
戴罪立功,Make up for one's mistake,Make meritorious deeds
户限为穿,An endless flow of visitors,The household limit is to wear
扁担没扎，两头打塌,Send up grabbing for strands,"The pole is not tied, the two ends are collapsed"
手忙脚乱,In a frantic rush,In a hurry
手到病除,(in praise of a doctor's skill) sickness retires at his touch,Cure by hand
手足无措,At a loss as to what to do,At a loss
手无缚鸡之力,Too weak,The power of a chicken without a hand
才高八斗,Have (of) profound learning,Only high and eight buckets
打抱不平,Defend somebody against an injustice,Fight against injustice
打破砂锅问到底,Insist on getting to the bottom of the matter,Break the casserole and ask to the end
打落水狗,Beat a drowning dog,Beat the water dog
打开天窗说亮话,Frankly speaking,Open the sunroof and speak up
打肿脸充胖子,Slap one's face until it's swollen in an effort to look imposing,Slap swollen face to make fat man
打入冷宫,Consign to the back shelf,Into the cold palace
打草惊蛇,Put an enemy on guard by acting prematurely,Catching the grass to startle the snake
扶老携幼,Help the aged and the young,Help the old and the young
扶弱抑强,Fight for the weak against the strong,Support the weak and suppress the strong
扶危济困,Help those in distress,Help the needy
抓耳挠腮,Scratch one's head,Scratching the ears
投鞭断流,"If the soldiers throw their whips into the river, it would",Throw the whip and cut off the flow
投其所好,Agree to whatever another is pleased with,Do what you want
折冲樽俎,Engage in diplomatic negotiations,Fold red bottle
抱薪救火,Adopt a wrong method to save a situation and end up by making it worse,Paying for firefighting
披星戴月,Work or travel night and day,Wearing the moon
抽薪止沸,Take drastic measures to stop something,Salary to stop boiling
拈轻怕重,Pick easy jobs and shirk hard ones,Fear the light
拉大旗作虎皮,Use the great banner as a tiger-skin (to cover oneself and intimidate other people),Pull the flag as tiger skin
抛砖引玉,A modest spur to induce others to come forward with valuable contributions,Throwing bricks and attracting jade
拐弯抹角,Talk in a roundabout way,Beating around the bush
拍板成交,Strike a bargain,Clinch a deal
拒人于千里之外,Keep a good distance from,Reject people thousands of miles away
拾金不昧,Not pocket the money one picks up,Picking up gold is not ignorant
拾人牙慧,Plagiarize,Pick up people's teeth
持之有故,Hold the assertion with reasons,Hold for a reason
按图索骥,Locate (or look for) something by a plan (or map),Follow the picture
指鹿为马,Wilful misrepresentation,Refer to a deer as a horse
指日可待,In the not too distant future,Just around the corner
挑肥拣瘦,Difficult to please,Pick the fat
挖空心思,Rack (or cudgel) one's brains for,Rack your brains
挨门逐户,Go from door to door (or house to house),Door to door
捕风捉影,Make groundless accusations,Catch the wind
捏手捏脚,Walk on tiptoe,Pinching hands and feet
舍本逐末,Attend to trifles to the neglect of essentials,Go to the bottom of the book
舍己救人,Sacrifice one's life to save others,Sacrifice oneself to save others
弃车保帅,Make minor sacrifices to safeguard major interests,Abandon the car and protect the handsome
舍生取义,Lay down one's life for a just cause,Sacrifice one's life
舍生忘死,Risk one's life,Forget about dying
扫地以尽,Make a clean sweep,Sweep the floor
掉以轻心,Lower one's guard,Take it lightly
排除万难,Surmount every difficulty (or obstacle),Against all odds
挂一漏万,"For one thing cited, ten thousand may have been left out",Hang one leak
采薪之忧,Sickness,Worry about salary
探囊取物,An easy thing to do,Exploring the capsule
探骊得珠,One grasped the point of the theme,Exploring Li Dezhu
接二连三,In quick succession,One after another
推波助澜,Add fuel to the fire,Fuel the flames
推己及人,Do unto others what you would do unto yourself,Push yourself and others
推襟送抱,Treat somebody with sincerity,Push the placket
推荐让能,Select the capable men and put them in power,Recommend to enable
推心置腹,Show the greatest consideration or confidence (treat somebody as oneself),Heart to heart
推三阻四,Give or given the runaround,Push three block four
措置裕如,Manage one's work (or affairs) easily and leisurely,Take care of yourself
措手不及,Be caught unaware (or unprepared),Caught off guard
掩耳盗铃,Self-deception,Stealing the bell
插翅难飞,Unable to escape even if given wings,Hard to fly
扬汤止沸,An ineffectual remedy,Soup to stop boiling
换汤不换药,The same old stuff with a different label,Change the soup but not the medicine
挥汗如雨,Drip with sweat,Sweat like rain
损人利己,Gain at others' expense,Harm others and benefit oneself
搔首弄姿,(of a woman) stroke one's hair coquettishly,Scratching the head
摇旗呐喊,Voice support for,Wave the flag
搜索枯肠,Rack (or ransack) one's brains (for fresh ideas or apt expressions),Search for sausage
搬起石头打自己的脚,Lift a rock only to have one's toes squashed,Shoot yourself in the foot
摩厉以须,Grind weapons sharp in preparation,Mo Li Yi beard
摩肩接踵,Be jam-packed with people,Shoulder to shoulder
拨乱反正,Bring order out of chaos,Set things right
拨云见日,Sweep away the clouds and bring somebody the sunlight,Clear the clouds and see the sun
抚今追昔,Recall the past and compare it with the present,Chasing the past
操之过急,Over-hastiness,Is too hasty
擒贼先擒王,"To catch bandits, first catch the ringleader",Catch the thief first catch the king
据理力争,Argue strongly on just grounds,Fight for reason
攀龙附凤,Play up to people of power and influence,Pan Long Fu Feng
收回成命,Revoke a command,Take it back
改弦更张,Make a fresh start,Change the tune
攻守同盟,Military alliance (for mutual defense),Offensive and defensive alliance
放下屠刀，立地成佛,A wrongdoer achieves salvation as soon as he gives up evil,Put down the butcher knife and become a Buddha
放之四海而皆准,Valid everywhere,One size fits all
放长线，钓大鱼,Adopt a longterm plan to secure something big,"Long line, big fish"
放任自流,Noninterference,Let it go
故弄玄虚,Make a mystery of something,Make up mysteries
效命疆场,Ready to lay down one's life on the battlefield,Serve the battlefield
教学相长,Both teachers and students make progress by learning from each other,Teaching each other
救亡图存,Save the nation from subjugation and ensure its survival,Save the Nation
敝帚自珍,Cherish something of little value simply because it is one's own,Treasure the broom
敢怒而不敢言,Be forced to keep one's resentment to oneself,Dare to be angry without speaking
敬酒不吃吃罚酒,Be constrained to do what one at first declined,"Toast, do not eat and drink fine"
敲骨吸髓,Suck the life-blood,Bone knocking and marrow aspiration
文不对题,Get off the subject,The text is wrong
文恬武嬉,(of a corrupt regime) the civil officials are indolent and the military officers frivolous,Wen Tian Wu Xi
文过饰非,Gloss over one's fault,Wen Guo pretends to be wrong
文人相轻,Writers like to disparage one another,Literati is light
文如其人,The writing mirrors the writer,Wen as a person
文从字顺,Readable and fluent,Text follows word order
文武双全,Be adept with both the pen and the sword,Both civil and military
斯文扫地,Bring disgrace on the intellectuals,Sven sweeps the floor
新官上任三把火,A new broom sweeps clean,Three fires when the new official takes office
断线风筝,A kite with a broken string,Broken line kite
方兴未艾,Rising,In the ascendant
旁若无人,Act as if no one was nearby,No one else
旅进旅退,Have no definite views of one's own,Travel in and out
旋乾转坤,Effect a drastic change in nature or the established order of a country,Spin dry turn kun
既来之，则安之,"Since we are here, we may as well stay and make the best of it","They come, the security"
既往不咎,Let bygones be bygones,Let go of the past
日不暇给,Fully occupied from morning to night,Days are not enough
日暮途穷,On one's last legs,End of the day
日就月将,Daily progress and monthly advance,Day to month
日新月异,Never-ending changes and improvements,Changing with each passing day
日上三竿,It's late in the morning (referring to getting up late),Three poles in the sun
日升月恒,Daily increasing in prosperity,Sun rises moon constant
日月经天，江河行地,Eternally unchangeable,"Days and days, rivers flow"
明辨是非,Make a clear distinction between right and wrong,Distinguish right from wrong
明修栈道，暗度陈仓,Do one thing under cover of another,"Ming Xiu plank road, dark Chencang"
明哲保身,Wise about personal survival,Mingzhe protects himself
明珠暗投,A good man fallen among bad company,Pearl dark cast
明察秋毫之末，而不见舆薪,See the minute details but miss the major issue,"Seeing the end of the autumn clearly, but not seeing the public salary"
明若观火,As clear as day,Watching the fire
春兰秋菊,Each in its season,Spring orchid and autumn chrysanthemum
时不可失,Must not lose the opportunity,Time not to be lost
时不我待,Time and tide wait for no man,No time for me
时不我与,Time is running out,Time not me and
时势造英雄,The times produce their heroes,Times make heroes
时移俗易,Customs change with the passage of time,Time goes by
普天同庆,Universal rejoicing,Celebrate with the whole world
晴天霹雳,(like) a bolt out of the clear sky,A bolt from the blue
智者千虑，必有一失,Even a wise man sometimes makes a mistake,"A wise man has a thousand worries, and he must make a mistake"
暗中摸索,Grope in the dark,Groping in secret
暮鼓晨钟,Timely exhortations to virtue and purity,Twilight drum morning bell
暴跳如雷,Hit the ceiling,Fly into a rage
暴虎冯河,Be foolhardy,Tiger Feng He
曲突徙薪,Take precautions against a possible damage,Qutu migration salary
曲尽其妙,Express the subtlety tactfully and finely,Do the best
更上一层楼,Scale new heights,Take it to the next level
曾几何时,Only a short while ago,Once Upon a time
月下老人,Matchmaker,Old man under the moon
有目共睹,Be obvious (or clear) to all,For all to see
有目共赏,Win high praise from anyone who sees it (them),Seeing each other
有福同享，有祸同当,Stick together through thick and thin,Share the blessings and share the misfortunes
有头无尾,Unfinished,Head without tail
有奶便是娘,Lick the hand of anyone who throws a few crumbs,"If you have milk, you will be a mother"
有口难分,Find it hard to vindicate oneself,Hard to tell
有口难言,Become tongue-tied,Hard to say
有加无已,Be on the increase,There is no end
有教无类,With education there is no distinction between classes or races of men,Teaching without class
有志者事竟成,Where there is a will there is a way,"Where there is a will, things come true"
有志之士,A person with lofty ideals,People with lofty ideals
有则改之，无则加勉,"""correct mistakes if you have made any and avoid them if you have not""","If there is, change it, if not, add encouragement"
有一利必有一弊,There are both advantages and disadvantages,There are pros and cons
有眼不识泰山,Fail to recognize someone's eminence,Eyes do not know Mount Tai
有眼无珠,Unable to discriminate,Eyes but no beads
有闻必录,Jot down all one has heard of,It must be recorded
望风而逃,Flee at the mere sight of the oncoming force,Look out for the wind
望眼欲穿,Have long been looking forward with eager expectancy,Eager to see
望文生义,Take the words too literally,Just as literal
朝不谋夕,Live from hand to mouth,In a hurry
朝发夕至,Start at dawn and arrive at dusk (said of a short journey or good communications),Day to day
朝令夕改,Inconstant (or inconsistent) in policy,Changes from day to day
朝秦暮楚,Fickle and inconstant,Chao Qin Mu Chu
朝三暮四,Blow hot and cold,Three to four
期期艾艾,Stutter,Period Ai Ai
木本水源,The foundation or cause of things,Woody water source
木已成舟,Too late to change,The boat is done
本末倒置,Turn things inside out (or upside down),Put the cart before the horse
朱门酒肉臭，路有冻死骨,"While the rich wine and dine, the poor die of cold by the roadside","While the rich wine and meat smell, the road with frozen bone"
朽木不可雕,Decayed (or rotten) wood cannot be carved - said of a useless man,Dead wood cannot be carved
朽木粪土,Good-for-nothing,Dead wood manure
李代桃僵,Sacrifice oneself for another person,Li Dai Tao Zong
束手待毙,Wait helplessly for death,Wait to die
束手束脚,Undue caution,Tie hands and feet
杯盘狼藉,With wine glasses and plates spread all over a dining-table,Cup and plate mess
杳如黄鹤,Nowhere to be found,Yao Ru Huang Crane
东鳞西爪,Odds and ends,East scale west claw
枕戈待旦,Maintain combat readiness,Waiting for the day
枯木逢春,Get a new lease on life,Withered trees meet spring
枵腹从公,Serve others without salary,Belly from the public
格杀勿论,Kill with lawful authority,Shoot to kill
桀犬吠尧,Everyone acts according to the nature of the man whom he serves,Jie Dog Feiyao
桃李满天下,(of well-known teachers) have students everywhere (or all over the world),Peach and plum all over the world
枭首示众,Cut off a person's head and hang it up as a warning to all,Owl's head in public
弃甲曳兵,Flee pell-mell,Abandoning Armor and Drifting
弃旧图新,Turn over a new leaf,Abandon the old and picture the new
弃如粪土,Cast away like dirt,Abandoned like dung
弃暗投明,Leave the reactionary side and cross over to the side of progress,Abandon the dark to the light
棋逢对手,Even-matched,Chess against opponents
枪林弹雨,A hail (or rain) of bullets,A hail of bullets
乐不思蜀,So happy as to be unwilling to return home,Reluctant to think about Shu
乐极生悲,Extreme joy begets sorrow (or gives rise to sadness),Joy begets sorrow
树碑立传,Glorify somebody by erecting a monument to him and writing his biography,Build a monument
树倒猢狲散,Rats leave a sinking ship,Fallen tree hozen scattered
树高千丈，叶落归根,A person residing away from home eventually returns to his native soil,"Trees are thousands of feet tall, leaves fall back to their roots"
机不可失，时不再来,Don't lose a golden opportunity; it is never found again,Now or never
横七竖八,In disorder,All over the place
栉风沐雨,Travel or work despite wind and rain,Combating wind and rain
欲盖弥彰,"The harder one tries to conceal a thing, the more it attracts attention",Want to cover up
欲加之罪，何患无辞,"If you are out to condemn somebody, you can always trump up a charge","If you want to add a crime, why not worry"
欲取姑与,Make concessions for the sake of future gains,Want to marry
欲速则不达,Haste brings no success,Haste is not enough
欺世盗名,Win popularity by cheap means,Deceive the world
欺人太甚,Bully others too much,Deceiving too much
欺软怕硬,Bully the weak and fear the strong,Bully the soft and fear the hard
正本清源,Thoroughly overhaul,Original clear source
正颜厉色,Put on a stern countenance,Look serious and severe
此地无银三百两,A guilty person gives himself away by conspicuously protesting his innocence,There is no silver three hundred taels here
此起彼伏,Ebb and flow,One after another
步步为营,Consolidate at every step,Step by step
归根结蒂,In the end,In the final analysis
归心似箭,Impatient to get back,Returning like an arrow
死马当活马医,Make every possible effort,Dead horse as a living horse doctor
死有余辜,Even death would be too good for him,Dead for nothing
死无对证,The dead cannot bear witness,Dead without proof
残兵败将,Remnants of a routed army,Remnants of the army
残山剩水,The remaining remnants of national territory,Remnants of mountains and water
殷鉴不远,Past examples serving as a warning to later generations are not far to seek,Yin Jian is not far
杀回马枪,Wheel around and hit back,Back to the carbine
杀鸡警猴,Punish somebody as a warning to others,Kill the chicken police monkey
杀鸡取卵,Kill the hen to get all its eggs,Kill the chicken and get the eggs
杀鸡焉用牛刀,What's the need for using a large knife to kill a fowl,Use a knife to kill a chicken
杀人不眨眼,Kill without batting an eyelid,Kill without blinking
杀人如麻,Kill people like flies,Murder like hemp
杀一儆百,Execute one as a warming to a hundred where,Kill one to warn one hundred
每逢佳节倍思亲,On festive occasions more than ever we think of our dear ones far away,Thinking of relatives every festive season
比肩接踵,Be crowded (or inundated) with people,Shoulder to shoulder
比上不足，比下有余,"Worse off than some, better off than many","Less than above, more than below"
民不聊生,Live on the edge of starvation,People are not living
民不畏死，奈何以死惧之,"The people fear no death, why threaten them with it","People are not afraid of death, but how can they be afraid of death"
民穷财尽,The people suffer privation and the country has depleted its resources,The people are exhausted
民脂民膏,Flesh and blood of the people,Minzhi Min Cream
民生凋敝,A mass impoverishment,People's livelihood is dying
民以食为天,Food is the first necessity,People take food as their heaven
民怨沸腾,Seething popular discontent (resentment),Public grievance boils over
气吞山河,Imbued with a spirit that can conquer mountains and rivers,Swallowing mountains and rivers
气贯长虹,Full of noble aspiration and daring,Qi penetrates Changhong
水到渠成,Something achieved without effort,A matter of course
水火不相容,Irreconcilable,Water and fire incompatibility
水至清则无鱼,Things do not exist in absolute purity,"When the water is clear, there are no fish"
水中捞月,Futile fantasy,Fishing for the moon in water
水乳交融,Inseparable,Blend of water and milk
求大同，存小异,Seek common ground on major issues while leaving aside the minor differences,"Seek great harmony, keep small differences"
求全责备,Demand perfection,Ask for full blame
求之不得,All that one could wish for,Unable to ask for
江河日下,Be on the decline,The river goes down
江心补漏,Too late,Jiangxin leak repair
江山易改，本性难移,A leopard cannot change its spots,"The country is easy to change, but the nature is hard to change"
沉冤莫白,A deep grievance,Injustice Mo Bai
