src,true_meaning,literal_translation
पलड़ा भारी होना,to have the upper hand,for the balance-pan to be heavy
फटे में टांग अड़ाना,to meddle where not needed,to stick a leg into a tear
फूटी किस्मत,very bad luck,broken luck
फूटी कोड़ी,a tiny amount of money,a broken cowrie/coin
फूल नहीं समाना,to be overjoyed,"to be swollen, not contained"
रंग में भंग पड़ना,to have celebrations spoiled,for bhang to fall into the dye/color
रंग बदलना,to betray or change stance,to change color
रंग लाना,to succeed,to bring color
रंगे हाथ पकड़ा जाना,to be caught red-handed,to be caught with colored hands
लकीर का फ़कीर,to follow tradition blindly,a fakir of the line
लंबी-लंबी छोड़ना,to boast with tall claims,to leave off long-long (claims)
लोहा मानना,to acknowledge someone’s superiority,to accept the iron
लोहा गरम है चोट कर,strike while the iron is hot,iron is hot—strike a blow
दिन-दुगनी रात-चौगुनी तरक्की,"rapid, compounding growth","day double, night quadruple progress"
दिन में तारे दिखना,to be in extreme pain or shock,stars appearing in the daytime
मक्खन लगाना,to flatter for gain,to apply butter
मगजमारी करना,to toil mentally,to do brain-beating
माथा पीटना,to regret greatly,to beat the forehead
माथा ठोकना,to plead earnestly or pray,to knock the forehead
माथे पर बल पड़ना,to appear tense,for wrinkles/tension to appear on the forehead
मान रखना,to honor someone’s feelings,to keep honor
मुँह में दही जमाना,to remain deliberately silent,to let curd set in the mouth
मूँछों पर ताव देना,to show pride or bravado,to give a twist to the moustaches
जग हँसाई होना,to become a public joke,to become the world’s laughter
टांग अड़ाना,to interfere unnecessarily,to stick in a leg
तूफ़ान खड़ा करना,to create a big ruckus,to raise a storm
कलेजा मुँह को आना,to be terrified (near-death feel),the liver to come to the mouth
कलेजा ठंडा होना,to feel avenged or satisfied after anger,the liver to become cool
घी सीधी उंगली से ना निकले तो टेढ़ी करनी पड़े,use strict means if polite ones fail,"if ghee won’t come out with a straight finger, one must bend it"
छाती ठोकना,to boast loudly,to thump the chest
छाती पर साँप लोटना,to be intensely jealous,a snake to roll on the chest
छाती पर मूंग दलना,to oppress or torment someone,to mill mung beans on the chest
छाती चौड़ी होना,to feel proud,the chest to become broad
"खेत खाए गधा, मारें जुलाहा",to punish the wrong person,"the donkey ate the field, (yet) we beat the weaver"
कुएँ में कूदना,to jump into trouble knowingly,to jump into a well
कुआँ खोदना,to prepare in advance,to dig a well
चींटी की चाल,very slow progress,the ant’s gait
गागर में सागर भरना,to say a lot in few words,to fill the ocean into a pitcher
ऊँची दुकान फीका पकवान,"great show, poor quality","tall shop, bland dish"
नाच न जाने आँगन टेढ़ा,blame surroundings for one’s lack,"doesn’t know to dance, (says) the courtyard is crooked"
नेकी कर दरिया में डाल,do good without expectation,do good and throw it into the river
थोथा चना बाजे घना,empty vessels make more noise,hollow chickpea makes loud sound
रात गई बात गई,let bygones be bygones,"night gone, talk gone"
रातों-रात बदलना,to change overnight,to change overnight
रस्सी जल गई पर ऐंठ न गई,to be arrogant despite downfall,the rope burned but its twist didn’t go
रोज़ का रोना,the same old complaint,daily crying
रोटी-रोज़ी का सवाल,a matter of livelihood,question of bread and livelihood
लाभ-हानि की परवाह न करना,to not care about profit or loss,to not care about profit-loss
लाख टके की बात,a very valuable point,a matter worth a hundred thousand rupees
लकड़ी बेकार करना,to waste effort (colloquial sense),to waste wood
लड़ाई का मूड बनाना,to get into a quarrelsome mood,to make a mood for a fight
शक की सूई अटकना,to remain doubtful,the needle of doubt to get stuck
सड़कछाप व्यवहार,"rude, rough behavior",street-stamped behavior
सिर पर चढ़ाना,to pamper excessively,to lift onto the head
सिर पर हाथ फेरना,to bless affectionately,to stroke the head with the hand
सिर पर तूफ़ान टूटना,to face a sudden calamity,a storm to break upon the head
सिर खपाना,to rack one’s brains,to wear out the head
सिर ऊँचा करना,to bring honor,to raise the head high
सिर झुकाना,to show respect or shame,to bow the head
सुबह के भूले शाम को घर आ जाएँ तो भूले नहीं कहलाते,better late than never,"if the morning’s lost returns home by evening, he’s not called lost"
अक्ल के घोड़े दौड़ाना,to overthink unnecessarily,to run the horses of intellect
अव्वल दर्जे का,of top quality,of first grade
अधेड़ उम्र की दिक्कत,middle-age related issues (colloq.),difficulty of middle age
अंगारों पर चलना,to go through hardships,to walk on embers
अंगूठा दिखाना,to refuse bluntly,to show the thumb
अंगूठा छाप,an illiterate person (dated),thumb-impression (person)
अंधेर नगरी चौपट राजा,a place with complete mismanagement,"city of darkness, ruined king"
अन्नदान महादान,charity of food is supreme (proverbial),gift of food is the great gift
अक्ल ठिकाने लगना,to come to one’s senses,sense to settle into place
कानून हाथ में लेना,to take law into one’s own hands,to take the law in one’s hand
कान पर हाथ रखना,to be alarmed or scared,to place a hand on the ear
कानोंकान खबर न होना,no one gets wind of it,not an ear-to-ear whisper of news
काला-सफेद करना,to decide authoritatively,to make black-white
कलेजे पर पत्थर रखना,to harden one’s heart to do something tough,to place a stone on the liver
किसी की बैंड बजाना,to thrash or defeat thoroughly,to play someone’s band
खुल्लम-खुल्ला कहना,to say openly,to say in the open-open
खून गर्म होना,to feel fired up,blood to become hot
खुशी के मारे फूले न समाना,to be overjoyed,"for joy, to swell and not be contained"
गला सूख जाना,to feel nervous or scared,the throat to dry up
गला काट प्रतिस्पर्धा,cut-throat competition,throat-cut competition
गलती पर पर्दा डालना,to cover up a mistake,to put a curtain over a mistake
गले की फाँस,a nagging problem,a thorn in the throat
गले मिलना,to embrace warmly (reconciliation),to meet at the neck (embrace)
घड़ी-घड़ी रंग बदलना,to be fickle,to change color every hour-hour
घूम-फिरकर वहीं आना,to end up at the same point,to go round and come back there
चक्कर काटना,to make repeated rounds (bureaucracy),to cut circles
चक्की में पिसना,to be crushed by circumstances,to be ground in a mill
"चौबे जी छब्बे बने, दुबे बने न",to aim higher and lose what you had,"Mr. Choubey became ‘Chhabbe’, (yet) didn’t become Dubey"
चूँ भी न करना,to not utter a word,to not utter even ‘choo’
चोली-दामन का साथ,inseparable relationship,the companionship of blouse and veil
छोटा मुँह बड़ी बात,big talk from a small person,"small mouth, big talk"
जुबान पर ताला लगाना,to keep one’s mouth shut,to put a lock on the tongue
जुबान देना और निभाना,to keep a promise,to give one’s word and keep it
जुबान की कसम,a solemn vow,oath of the tongue
जान पर बन आना,to be in grave danger,to come upon the life
जान हथेली पर लेकर फिरना,to live riskily,to carry one’s life on the palm
जेब ढीली करना,to spend money,to loosen the pocket
जेब काटना,to pickpocket / cheat,to cut the pocket
जोर आज़माइश करना,to test strength,to do strength-testing
जोर-शोर से करना,to do with great enthusiasm,to do with force and noise
टेंट-टून बजना,to make a loud scene (colloq.),to go ‘tain-toon’ (clang loudly)
ठाठ से रहना,to live in style,to live with pomp
डंका पीटना,to announce loudly,to beat the kettle-drum
ढिंढोरा पीटना,to brag publicly,to beat the public drum
ढील देना,to be lenient,to give slack
तारीफ़ के पुल बाँधना,to heap praises,to build bridges of praise
तह तक पहुँचना,to get to the root cause,to reach the bottom layer
तन-मन-धन से,"with body, mind, and wealth; wholeheartedly","with body, mind, and wealth"
तार-तार करना,to tear apart reputation,to make into threads
तार जोड़ना,to connect the dots,to join the wires
तीस मार खाँ,a self-proclaimed hero; boaster,Tees Mar Khan (Mr. ‘thirty-strikes’ Khan)
तीन में न तेरह में,irrelevant to any group,neither in the three nor in the thirteen
तेल-मसाज करना,to flatter for benefit (colloq.),to do oil massage
थक-हार कर बैठ जाना,to give up after trying,to sit down tired and defeated
थाली का बैंगन बनना,to switch sides easily (opportunist),to become the plate’s eggplant
दिमाग का पारा चढ़ना,to lose temper,the mind’s mercury rising
दिमाग सातवें आसमान पर,to be overconfident or elated,the mind on the seventh sky
दिमाग की बत्ती जलना,to suddenly get an idea,the brain’s lamp lighting
दाँव खेलना,to take a calculated risk,to play a stake
दाँव-पेंच आज़माना,to use tricks or tactics,to try stakes and tricks
नाक में नकेल डालना,to bring someone under strict control,to put a halter in the nose
नाक रगड़ना,to beg desperately,to rub the nose
नाक ऊँची रखना,to uphold one’s honor,to keep the nose high
नाक काट कर रख देना,to disgrace someone completely,to cut off the nose and set it down
नाक पर दम होना,to be short-tempered / easily angered,to have breath on the nose
नाक का बाल होना,to be a favorite / close confidant,to be the hair of the nose
कान खोलकर सुनना,to listen attentively,to listen with ears open
कान देना,to pay attention,to give an ear
कान पकड़ कर माफी मांगना,to apologize earnestly,to hold the ears and ask forgiveness
कान के नीचे देना,to slap / scold sharply,to give a blow beneath the ear
कान में भनक पड़ना,to get a hint of something,for a hint to fall into the ear
कान फटना,to hear loud/harsh sounds,for the ear to tear
कान कतरना,to cheat a little from all sides,to clip the ears
आँख बचाकर निकलना,to slip away unnoticed,to slip out hiding from the eyes
आँखें चार होना,to exchange glances / fall in love,for the eyes to become four
आँखें चुराना,to avoid facing someone,to hide the eyes
आँखें तिरछी करना,to squint in doubt,to make the eyes slant
आँखों पर पट्टी बंधना,to be blinded to the truth,for a bandage to be tied on the eyes
आँखों में बसाए रखना,to cherish someone deeply,to keep (someone) lodged in the eyes
आँखों ही आँखों में इशारा करना,to communicate silently,to signal within the eyes themselves
हाथ आजमाना,to try one’s hand at something,to try the hand
हाथ पक्का होना,to be highly skilled,for the hand to be firm
हाथ कंगन,obvious proof; needs no words,bangle on the hand
हाथ रोक लेना,to restrain oneself,to stop the hand
"हाथी के दाँत खाना और, दिखाना और",hypocrisy; different inside vs outside,the elephant’s teeth are for eating and (others) for showing
हाथ से हाथ धो बैठना,to lose something completely,to wash hand from hand and be left sitting
हाथ धो बैठना,to suffer total loss,to wash one’s hands and sit down
हाथी के पाँव में सबका पाँव,the mighty controls all,"in the elephant’s foot, everyone’s foot"
हाथ पर रखकर देखना,to test practically,to keep it on the hand and see
हाथ टेक देना,to surrender,to place the hands down (in surrender)
पैरों तले की ज़मीन हिलना,to be shocked badly,the ground under the feet to shake
पैर पटकना,to throw a tantrum,to stamp the foot
पैरों पर कुल्हाड़ी चलाना,to self-sabotage,to swing an axe on one’s own feet
पैरों की जूती समझना,to treat with utter disdain,to consider (someone) the shoe of the feet
पैर उखड़ जाना,to lose grip or stability,for the feet to be uprooted
पैरों की बेड़ियाँ,constraints that bind progress,shackles of the feet
पाँव पीछे हटाना,to back out,to move the foot back
पैरों पर खड़ा होना,to become self-reliant,to stand on one’s feet
"मुँह में राम, हाथ में छुरी",to be two-faced,"Ram in the mouth, knife in the hand"
मुँह पर लौकी रखना,to keep completely silent,to place a bottle gourd on the mouth
मुँह मियाँ मिट्ठू,to boast about oneself,mouth’s own ‘Mitthu’ (parrot)
मुँह का कौर छीनना,to snatch someone’s rightful share,to snatch the morsel from the mouth
मुँह का रख लेना,to save face,to keep/save the face of the mouth
मुँह की बात निकल जाना,to blurt something out,the words of the mouth to slip out
माथा ठनकना,to get suspicious suddenly,the forehead to tingle
माथा ठन जाना,to clash over ego,for foreheads to clash
माथे पर लिखना,to be written on one’s fate/forehead,to be written on the forehead
माथा टेकना,to bow in submission,to bow the forehead
दिल का हाल समझना,to understand true feelings,to understand the state of the heart
दिल बड़ा करना,to be generous/forgiving,to make the heart big
दिल छोटा करना,to get discouraged,to make the heart small
दिल बहला फुसलाना,to console and distract,to amuse and cajole the heart
दिल का धनी,large-hearted person,lord/owner of the heart
दिल खोलकर हँसना,to laugh heartily,to laugh with the heart open
दिल लगा कर पढ़ना,to study diligently,to study with the heart attached
दिल हार बैठना,to lose one’s heart (fall in love),to sit having lost the heart
दिमाग ठनकना,to get suspicious,for the brain to tinkle/click
दिमाग चकरा जाना,to get dizzy/confused,the brain to go dizzy
दिमाग ठंडा रखना,to stay calm,to keep the brain cool
दिमाग घिसना,to use brain excessively,to grind/wear down the brain
दिमाग पर जोर डालना,to strain the brain,to put pressure on the brain
दिमाग सातवें आसमान पर होना,to be over the moon / cocky,the brain to be on the seventh sky
दाँत पीसकर रह जाना,to swallow anger silently,to remain gnashing the teeth
दाँत नाखून दिखाना,to show aggression,to show teeth and nails
दाँतों तले अंगुली आ जाना,to be stunned with surprise,for a finger to come under the teeth
दाँत खींच लेना,to break someone’s courage,to pull out the teeth
जुबान चलती रहना,to keep blabbering,the tongue to keep running
जुबान मीठी करना,to speak sweetly to please,to make the tongue sweet
जुबान फँसना,to get tongue-tied,the tongue to get stuck
जुबान दराज़ होना,to be insolent in speech,the tongue to be long
जुबान पर लगाम लगाना,to control speech,to put a bridle on the tongue
कलेजे में आग लगना,to burn with jealousy/grief,for fire to catch in the liver
कलेजे में ठंडक पड़ना,to feel satisfied after justice,for coolness to fall in the liver
खून खौल उठना,to boil with rage,the blood to boil up
खून खून होना,to be very close blood relations,for blood to be blood
खून पिला देना,to torment someone severely,to make (someone) drink blood
खून में दौड़ना,to be in one’s nature,to run in the blood
खून पिघलना,to feel compassion,for the blood to melt
खून मांगना,to demand revenge,to demand blood
पसीना सुखाना,to exploit someone’s hard work,to dry the sweat
पसीना पोछना,to relieve someone’s hardship,to wipe the sweat
पसीना निकाल देना,to scare/work someone badly,to make the sweat come out
रातों की नींद हराम करना,to keep someone sleepless,to make the sleep of nights forbidden
रातों रात भाग्य बदलना,fortune to change overnight,to change fate overnight
रात काटना,to somehow pass a tough night,to cut/pass the night
सिर पर चढ़ बैठना,to take undue advantage of leniency,to climb and sit on the head
सिर पर हाथ रखना,to bless or protect,to place a hand on the head
सिर पर कर्ज़ चढ़ना,to be burdened with debt,for debt to climb onto the head
सिर से पानी गुजरना,to cross all limits / patience,for water to pass over the head
सिर फोड़ लेना,to take all the blame/work alone,to break one’s head
सिर फटना,to get a splitting headache / big fight,for the head to split
सिर घुमाना,to confuse someone,to turn/spin the head
सीना ठोकना,to boast confidently,to thump the chest
सीना चौड़ा होना,to feel proud,for the chest to become broad
सीना फुलाना,to puff up with pride,to inflate the chest
सीने पर पत्थर रखना,to do something painful bravely,to place a stone on the chest
सीने में कील चुभना,to feel deep hurt,for a nail to prick in the chest
छाती पर बोझ रखना,to keep guilt/weight on heart,to place a load on the chest
छाती धौंकनी चलना,to pant with anger/fear,for the chest’s bellows to pump
छाती पर मूँग दल देना,to oppress cruelly,to grind mung beans on the chest
आगाह करना,to warn in advance,to forewarn
आग-बबूला कर देना,to enrage someone greatly,to turn (someone) fire-furious
आग में तपना,to go through severe trials,to be tempered in fire
आग ठंडी कर देना,to pacify anger,to make the fire cool
आग फूँकना,to provoke conflict,to blow the fire
आग लगा बैठना,to cause trouble unknowingly,to set fire and sit (having done it)
आग बुझाना,to resolve a heated situation,to extinguish the fire
आग से निकाल कर राख करना,to ruin after rescuing,to take out from fire and make ash
रंग पकड़ना,to mature or become noticeable,to catch color
रंग उड़ जाना,to lose color/enthusiasm,for color to fly away
रंगत फीकी पड़ना,to look dull/sickly,for the complexion to turn faint
रंग चढ़ना,to intensify (influence/celebration),for the color to mount
रंग बदलते देखना,to witness changing loyalties,to see colors changing
नाक सूँघना,to pry into someone’s matters,to sniff the nose
नाक का बाल बन जाना,to become someone’s favorite,to become the hair of the nose
नाक दबा देना,to silence forcefully,to press the nose down
नाक का पानी उतरना,to be utterly humiliated,for the nose’s water to come down
कान खींचना,to scold/punish strictly,to pull the ear
कान देना-न देना,to ignore what’s being said,to give an ear—or not
कान फूंकना,to warn privately,to blow into the ear
कान पर हाथ धरे रह जाना,to be shocked speechless,to remain with a hand placed on the ear
आँख मिलाना,to meet the gaze confidently,to join/match eyes
आँख नीची करना,to lower eyes in shame,to lower the eyes
आँखें झुकाना,to be modest/shy,to cast the eyes down
आँखें तरेर कर देखना,to glare angrily,to look by glaring the eyes
आँखें चमक उठना,to become excited,for the eyes to light up
आँखें नम होना,to get teary-eyed,for the eyes to become moist
आँखें धोखा खा जाना,to be visually deceived,for the eyes to be deceived
आँख का तारा,apple of the eye,the star of the eye
आँख का तिल,someone extremely dear,the mole/beauty-spot of the eye
हाथ से काम निकलना,to get work done by others,for work to come out from the hand
हाथ गंदा करना,to do dirty/lowly work,to make the hand dirty
हाथ पर नाग रखना,to sit idle doing nothing,to keep a snake on the hand
हाथ डूबना,to sink resources into loss,for the hand to drown
हाथ थामे रह जाना,to stay dependent,to remain holding the hand
हाथ काटकर अलग करना,to sever ties completely,to cut off the hand and separate
पाँव धरना,to set foot (begin),to set/place the foot
पाँव पसारकर सोना,to relax without worry,to sleep with feet stretched out
पाँव फिसलना,to make a slip/mistake,for the foot to slip
पाँव भारी होना,to be pregnant (euphemistic),for the foot to be heavy
पाँव के नीचे से जमीन खींच लेना,to pull the rug from under,to pull the ground from under the feet
पाँव तले रौंदना,to crush mercilessly,to crush under the feet
पाँव रोक देना,to restrain someone,to stop the foot
मुँह फुलाना,to sulk,to puff the mouth
मुँह पर ताला लगाना,to stay tight-lipped,to put a lock on the mouth
मुँह तक आकर लौट जाना,to almost say but stop,to come up to the mouth and turn back
मुँह फूटना,to blurt under pressure,for the mouth to burst (into speech)
मुँह के बल गिरना,to fail badly,to fall face-first
मुँह-माँगा दाम,price asked without bargaining,price asked by the mouth
मुँह में खून लगना,to become greedy after first gain,to get blood in the mouth
मुँह में लौकी डालना,to hush someone completely,to put a bottle gourd in the mouth
मुँह का स्वाद बदलना,to lighten the mood,to change the taste of the mouth
माथा ठोककर मानना,to accept with resignation,to accept by knocking the forehead
माथे का पसीना पोंछना,to finish hard work,to wipe the sweat of the forehead
माथे की लकीरें,lines of fate/concern,lines on the forehead
माथे पे शिकन,wrinkles of worry,wrinkles on the forehead
माथा घूम जाना,to feel dizzy/overwhelmed,for the head/forehead to spin
माथे पर हाथ मारना,to smack the forehead in regret,to strike the hand on the forehead
दिल दहला देना,to horrify,to make the heart tremble
दिल में घर कर लेना,to make a place in one’s heart,to make a home in the heart
दिल पर चोट लगना,to be emotionally hurt,to have a blow strike the heart
दिल पे लेना-न लेना,to take/not take to heart,to take on the heart—or not
दिल का रोग,heartache/grief,disease of the heart
दिल की बात कहना,to confide,to say the heart’s matter
दिमाग घूम जाना,to get furious or confused,the mind spinning
दिमाग पर पत्थर रखना,to force oneself against feelings,to place a stone on the brain
दिमाग में कील ठोकना,to insist hard on a point,to hammer a nail into the brain
दिमाग की नस दबना,to lose calm badly,for the brain’s vein to be pressed
दिमाग ठप्प होना,to have a mental block,for the brain to be shut down
दाँत दिखाना-न दिखाना,to mock or avoid mocking,to show the teeth—or not show
दाँत लगना,to become accustomed (badly),for the teeth to catch
दाँत भींचना,to endure silently,to clench the teeth
दाँत की नोक पर रखना,to remember exactly,to keep on the tip of the tooth
दाँत-काटे का बैर,deadly enmity,tooth-bitten enmity
जुबान की मिठास,sweetness of speech,sweetness of the tongue
जुबान सरकना,to slip of the tongue,for the tongue to slip
जुबान की धार,sharpness of words,the edge/blade of the tongue
जुबान को ताला,to keep silent,a lock to the tongue
खून खौल जाना,to boil with rage,for the blood to boil
खून सूख जाना,to be terrified or horrified,for the blood to dry up
खून पीना,to exploit harshly,to drink blood
खून के आँसू रोना,to suffer painfully,to cry tears of blood
पसीना चूना,to toil severely,for sweat to drip
पसीना टपकना,to sweat profusely,for sweat to drip
पसीना रोक देना,to relieve / cool down,to stop the sweat
सीने में साँप लोटना,to be eaten up by jealousy,for a snake to roll in the chest
सीने-से-लगाना,to embrace warmly,to press to the chest
सीना-जोरी करना,to browbeat,to do chest-force (browbeating)
सीने में धुआँ उठना,to smolder with anger,for smoke to rise in the chest
आग सलाख करना,to test by ordeal,to do a fire-rod ordeal
आग में घिरना,to be surrounded by trouble,to be surrounded in fire
आग सेंकना,to take advantage amid conflict,to warm oneself at the fire
आग ओकना,to speak venomously,to spew fire
आग बुझा बैठना,to lose spirit prematurely,to sit having put out the fire
रंग में रंग जाना,to blend in completely,to be colored in the same color
रंग उछालना,to malign someone publicly,to fling/throw color
रंगत लौटना,to regain glow/cheer,for the complexion to return
नाक घुसाना,to interfere unnecessarily,to insert the nose
नाक मरोड़ना,to insult or humiliate publicly,to twist the nose
नाक पर गुस्सा होना,to get angry quickly,to have anger on the nose
नाक नीचे करना,to make someone feel inferior,to put the nose down
नाक का बाल खींचना,to criticize harshly,to pull the hair of the nose
कान में भनक लगना,to get a small hint about something,for a hint/buzz to catch in the ear
कान में फूँक मार देना,to secretly manipulate someone,to blow a puff into the ear
कान पकड़े रह जाना,to stay astonished or scared,to remain holding the ears
कान के नीचे थप्पड़ मारना,to slap soundly (figuratively punish),to slap below the ear
कान में सीटी बजना,to hear unpleasant sounds / tinnitus,for a whistle to sound in the ear
आँखों से आँसू पोछना,to comfort someone in sorrow,to wipe tears from the eyes
आँखों में बसा लेना,to remember fondly,to lodge/settle in the eyes
आँखें फेर लेना,to turn away / stop supporting,to turn the eyes away
आँख मूँदकर भरोसा करना,to trust blindly,to trust with eyes closed
आँखों के आगे अंधेरा छा जाना,to be momentarily shocked,for darkness to spread before the eyes
आँख बचाकर काम करना,to do secretly,to do the work after evading the eyes
आँख खुलना,to become aware of truth,for the eye to open
आँखों में आँसू भर आना,to feel deeply emotional,for tears to fill the eyes
आँखें नीची करना,to bow in embarrassment or respect,to lower the eyes
हाथ तंग होना,to be financially tight,for the hands to be tight
हाथ ऊपर होना,to be superior in status or strength,for the hand to be above
हाथ नीचे होना,to lose or be defeated,for the hand to be below
हाथ जोड़ना,to plead or show respect,to join the hands
हाथ में काम न होना,to be idle,to have no work in the hand
हाथ न लगाना,to avoid touching / involvement,to not touch with the hand
हाथ छुड़ाना,to escape from control,to pull the hand free
हाथ रोक देना,to stop mid-action,to stop the hand
पैर रखना भी पाप,to be forbidden to enter,even to set foot is a sin
पैर जमने न देना,to obstruct someone’s progress,to not let the feet set
पैर पर पाँव रखना,to challenge or overtake,to place foot upon foot
पैरों में गिरना,to beg for mercy,to fall at the feet
पैर भारी होना,to bring bad luck (figuratively),for the foot to be heavy
पैर धोना,to show deep respect,to wash the feet
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet
पैर रोक लेना,to hesitate before action,to hold back the foot
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside
मुँह बंद कर देना,to silence completely,to shut the mouth
मुँह चलाना,to speak unnecessarily,to run the mouth
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth
मुँह मीठा होना,to taste success,for the mouth to become sweet
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth
मुँह पीटना,to cry loudly in distress,to beat the mouth/face
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead
दिल में जगह बनाना,to win affection,to make a place in the heart
दिल में काँटे चुभना,to feel deeply hurt,for thorns to prick in the heart
दिल में खटका होना,to have a lingering doubt,for a jolt/unease to be in the heart
दिल में गुस्सा रखना,to hold a grudge,to keep anger in the heart
दिल की गहराई से,from the bottom of one’s heart,from the depth of the heart
दिल हिल जाना,to be shaken emotionally,for the heart to shake
दिल बाग़-बाग़ होना,to feel immense joy,for the heart to become a garden
दिल टूटकर रह जाना,to be devastated,to remain with the heart broken
दिल को सुकून मिलना,to find peace,for the heart to find peace
दिमाग खराब कर देना,to frustrate someone badly,to make the brain bad
दिमाग ठिकाने लग जाना,to become sensible again,for the brain to be set in place
दिमाग पर बोझ डालना,to overthink,to place a burden on the brain
दिमाग गुम होना,to lose one’s senses,for the brain to be lost
दिमाग की बत्ती बुझ जाना,to go blank suddenly,for the brain’s lamp to go out
दाँत किटकिटाना,to shiver in cold or fear,to chatter the teeth
दाँत नाखून से काम लेना,to struggle hard,to use teeth and nails
दाँतों तले अंगुली दबाना,to be stunned in awe,to press a finger under the teeth
जुबान बंद कर देना,to silence someone completely,to shut the tongue
जुबान काट लेना,to regret words spoken,to bite the tongue
जुबान कसना,to rebuke harshly,to tighten the tongue
जुबान के पक्के,to be true to one’s word,firm/steadfast of tongue
जुबान पर ताला,to keep secrets locked,a lock on the tongue
जुबान फिसल जाना,to say something accidentally,for the tongue to slip
जुबान सरक जाना,to misspeak,for the tongue to slide
जुबान की मिठास रखना,to speak kindly,to keep sweetness of the tongue
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship
पसीना रोकना,to relieve effort,to stop sweat
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat)
सीने में दर्द होना,to feel emotional pain,to have pain in the chest
सीने में जलन होना,to feel envy,to have burning in the chest
सीने में लावा उठना,to boil in anger,for lava to rise in the chest
सीने पर बोझ होना,to feel guilt or burden,to have a burden on the chest
सीने में आग लगना,to feel jealous or provoked,for fire to be set in the chest
रंग दिखाना,to reveal true colors,to show color
रंगीन होना,to enjoy life freely,to become colorful
रंग फीका पड़ना,to lose enthusiasm,for the color to fade/pale
रंग उड़ना,to fade away,for the color to fly/fade
रंग जमना,to gain traction,for color to set
रंग लगना,to start celebrating,to have color applied
रंग में रँग जाना,to blend or adapt fully,to be dyed in the color
अति सर्वत्र वर्जयेत,too much of anything is bad,excess should be avoided everywhere
अपना उल्लू सीधा करना,to act selfishly for personal gain,to straighten one’s owl
अक्ल ठिकाने लगाना,to make someone sensible,to set the sense in its proper place
अंगूर खट्टे हैं,to pretend disinterest after failure,the grapes are sour
अपनी डींगे हाँकना,to brag about oneself,to blare one’s own boasts
अपनी नाक ऊँची रखना,to maintain self-respect,to keep one’s nose high
अपना राग अलापना,to talk only about oneself,to chant one’s own tune
अंधे का हाथ बटेर लगना,to gain something valuable by accident,a blind man’s hand finds a quail
अंधेरे में रखना,to hide the truth deliberately,to keep (someone) in the dark
अपनी गलती मानना,to accept one’s fault,to accept one’s own mistake
अपनी डफली अपना राग,to do things one’s own way,"one’s own drum, one’s own tune"
अक्ल का पैमाना टूट जाना,to act beyond reason,the gauge of wisdom breaks
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick
अंधे की लाठी छीनना,to exploit the helpless,to snatch the blind man’s staff
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened
अंधे की रोटी गीली,when bad luck persists,the blind man’s bread is soggy
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes"
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind
अंधेरे में बैठना,to stay in ignorance,to sit in darkness
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind"
अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate
अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path
अंधा प्रेम करना,to love without reason,to love blindly
अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person
अंधे की लाठी,only source of dependence,a blind man’s staff
अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream
अंधेरे में रहना,to be ignorant,to live/stay in darkness
अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark
अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark
अंधा रेवड़ी बाँटे,favoring without fairness,the blind (man) distributes sweets
अंधे की किस्मत,blind luck / chance success,the blind man’s luck
अंधे को रंग दिखाना,to try to explain the unexplainable,to show color to a blind person
