src,explanation_used,literal_used,final_translation,QE_final,QE_literal,QE_explanation,DA_final,DA_literal,DA_explanation,QE_final_gt_literal,DA_final_gt_literal
乐极生悲,Extreme joy begets sorrow (or gives rise to sadness),Joy begets sorrow,Too much of a good thing.,-0.7250152230262756,-0.5347420573234558,-0.408211886882782,0.42756912112236023,0.6419674754142761,0.949993908405304,0.0,0.0
万籁俱寂,All sounds are hushed (or still),Everything is silent,All fell silent.,0.44081687927246094,0.3637216091156006,-0.16794605553150177,0.7137786149978638,0.7677381038665771,0.9653114676475525,1.0,0.0
泥塑木雕,As wooden as a dummy,Clay wood carving,as stiff as a statue,-0.9413266777992249,-0.1646280586719513,-1.118259072303772,0.6943817734718323,0.5984522700309753,0.9715092778205872,0.0,1.0
树碑立传,Glorify somebody by erecting a monument to him and writing his biography,Build a monument,to immortalize someone,-0.6811910271644592,-0.264764666557312,0.04130547121167183,0.550234317779541,0.5933384299278259,0.9548818469047546,0.0,0.0
万里长征,A long march of ten thousand li,The Long March,The Long March,-0.5340739488601685,-0.5340739488601685,-0.5733641386032104,0.5382440090179443,0.5382440090179443,0.941356360912323,0.0,0.0
泰山压卵,"When the extremely powerful crush the extremely weak, the",Tarzan egg pressing,It's like using a sledgehammer to crack a nut.,-0.623638927936554,-0.6074571013450623,-1.1972249746322632,0.37694641947746277,0.2769797742366791,0.9337599277496338,0.0,1.0
喜闻乐见,Love to see and hear,Happy to hear,A crowd-pleaser.,-0.6492143273353577,-0.16728544235229492,-0.35591933131217957,0.41861000657081604,0.7438868284225464,0.9706836342811584,0.0,0.0
万事亨通,Everything goes well,Everything is prosperous,Everything's going smoothly.,0.373958945274353,0.07389067858457565,0.3649963438510895,0.8869192004203796,0.8669114708900452,0.9888539910316467,1.0,1.0
树倒猢狲散,Rats leave a sinking ship,Fallen tree hozen scattered,"When the leader falls, his followers scatter.",-0.4633580148220062,-0.8779609203338623,-0.7156150937080383,0.5324078798294067,0.4254426658153534,0.9573858976364136,1.0,1.0
万事大吉,Everything goes off without a hitch,All is well,Everything went off without a hitch.,-0.12404206395149231,-0.27759602665901184,-0.18386459350585938,0.951964795589447,0.6347923874855042,0.9810940623283386,1.0,1.0
嗷嗷待哺,Cry piteously for food,Wailing to be fed,Crying out for food.,-0.3364294469356537,-0.44406673312187195,-0.706667423248291,0.805483877658844,0.603910505771637,0.9551569819450378,1.0,1.0
树高千丈，叶落归根,A person residing away from home eventually returns to his native soil,"Trees are thousands of feet tall, leaves fall back to their roots",You always come back to your roots.,-1.1075023412704468,-0.3614531457424164,-0.8074799180030823,0.6178968548774719,0.4702286124229431,0.9480683207511902,0.0,1.0
嘉言懿行,Good words and admirable conduct,Jia Yan Yi Xing,Exemplary words and deeds.,-0.5840386152267456,-0.892606794834137,-0.48186102509498596,0.7886558175086975,0.32016652822494507,0.9716330170631409,1.0,1.0
泰然处之,Not bat an eyelid,Take it with equanimity,Take it in stride.,-0.434532105922699,-0.00038122013211250305,-0.7926802039146423,0.43487027287483215,0.454213947057724,0.9735198616981506,0.0,0.0
横七竖八,In disorder,All over the place,All over the place.,-0.9362637400627136,-0.8129176497459412,-1.4535728693008423,0.5173344016075134,0.5400615930557251,0.977106511592865,0.0,0.0
机不可失，时不再来,Don't lose a golden opportunity; it is never found again,Now or never,Don't miss your chance.,-0.5804755687713623,-0.6832733750343323,-0.35553503036499023,0.6844567656517029,0.45745354890823364,0.9708331227302551,1.0,1.0
万事俱备，只欠东风,All is ready except what is crucial,All is ready except for the opportunity,Everything's ready — we're just waiting for the right moment.,-0.2129461020231247,-0.2830054461956024,-0.3095501959323883,0.7045636177062988,0.8409373760223389,0.9731237292289734,1.0,0.0
嘘寒问暖,Inquire after somebody's well-being,Ask for warmth,ask how someone is doing,-0.9667741656303406,-0.5661201477050781,-0.99661785364151,0.6214951872825623,0.4256702959537506,0.9466943740844727,0.0,1.0
泰阿倒持,Surrender one's power to another at one's own peril,Tea holds back,Handing someone the keys to your kingdom is asking for trouble.,-0.25603148341178894,-0.5677184462547302,-0.21468636393547058,0.5997912287712097,0.35716530680656433,0.9519938826560974,1.0,1.0
洋为中用,Make foreign things serve China,Foreign to Chinese,Adapt foreign ideas for Chinese use.,-0.28371018171310425,-0.968783974647522,-0.8953890204429626,0.7536243796348572,0.5276644229888916,0.9674860239028931,1.0,1.0
洞察一切,Have a keen insight into matters,Insight into everything,See through everything.,0.014155298471450806,-0.13256819546222687,-0.047142770141363144,0.5003753304481506,0.6498979926109314,0.9653130769729614,1.0,0.0
万寿无疆,(wish somebody) a long life,Longevity without borders,Wishing you a long life,-0.5405654907226562,-0.7558823823928833,-0.7815588116645813,0.7746723294258118,0.4794643223285675,0.9648059010505676,1.0,1.0
洞若观火,Clear like looking at fire,Cave like watching fire,as clear as day,-0.8515611290931702,-0.5249530076980591,-0.6435869932174683,0.58567875623703,0.6446024775505066,0.977488100528717,0.0,0.0
万水千山,Ten thousand crags and torrents,Thousands of Waters and Thousands of Mountains,a long and arduous journey,-0.7196987271308899,-0.7535132765769958,-0.6710126996040344,0.43074747920036316,0.5871263742446899,0.9644365310668945,1.0,0.0
嘻嘻哈哈,Laughing and joking,Hee hee ha ha,Laughing and joking around.,0.2178276926279068,-0.4004325270652771,0.20068001747131348,0.9073648452758789,0.44034022092819214,0.9730694890022278,1.0,1.0
噤若寒蝉,Keep mum about,Silent as a cicada,Stay tight-lipped.,-0.33946409821510315,-0.06539411842823029,-1.0628515481948853,0.5842263698577881,0.571380615234375,0.975667417049408,0.0,1.0
栉风沐雨,Travel or work despite wind and rain,Combating wind and rain,Brave the wind and rain.,-0.5092063546180725,-0.5064921975135803,-0.3955734968185425,0.7891795635223389,0.7576004862785339,0.9725509285926819,0.0,1.0
欲盖弥彰,"The harder one tries to conceal a thing, the more it attracts attention",Want to cover up,The cover-up only makes it worse.,-0.493251234292984,-0.8571353554725647,-0.27430036664009094,0.5991743206977844,0.45657119154930115,0.938552737236023,1.0,1.0
落井下石,Strike (or hit) a person when he is down,Fall into the hole,kick someone when they're down,-0.8014496564865112,-0.5727475881576538,-0.7118619084358215,0.7162732481956482,0.4836529791355133,0.950698971748352,0.0,1.0
流水不腐，户枢不蠹,Running water is never stale and a door-hinge never gets worm-eaten,"The running water does not rot, andthe pivot of the house does not stink",A rolling stone gathers no moss.,-1.5010753870010376,-0.9141947031021118,-1.2928227186203003,0.4511430263519287,0.5133023858070374,0.9113520979881287,0.0,0.0
欲取姑与,Make concessions for the sake of future gains,Want to marry,Give a little to get a lot.,-0.7086090445518494,-0.8269541263580322,-0.263730525970459,0.5358783006668091,0.3494521975517273,0.9666450619697571,1.0,1.0
欲加之罪，何患无辞,"If you are out to condemn somebody, you can always trump up a charge","If you want to add a crime, why not worry","If you're out to get someone, you can always find an excuse.",-1.0737873315811157,-1.1760010719299316,-0.7597253918647766,0.5428494215011597,0.4864567220211029,0.9456507563591003,1.0,1.0
落花有意，流水无情,Unrequited love,"Falling flowers are intentional, flowing water is ruthless",Unrequited love,-0.846945583820343,-0.4933468997478485,-0.846945583820343,0.9724512100219727,0.46155157685279846,0.9724512100219727,0.0,1.0
浮云朝露,Passing (or floating) clouds and morning dew,Floating Clouds Morning Dew,As fleeting as passing clouds and morning dew.,-0.6947199106216431,-0.7966814637184143,-0.7090268135070801,0.7248002886772156,0.6959651112556458,0.957015335559845,1.0,1.0
噬脐莫及,It's too late to repent,The umbilical cord is out of reach,There's no point regretting it now.,-0.8543424010276794,-0.6625909209251404,-0.7339603900909424,0.5757002830505371,0.4069730043411255,0.9614422917366028,0.0,1.0
海底捞月,Strive for the impossible or illusory,Sea fishing moon,Chasing rainbows.,-0.4452840983867645,-0.6416500806808472,-0.5422500967979431,0.3806230425834656,0.3370935320854187,0.9645256400108337,1.0,1.0
欲速则不达,Haste brings no success,Haste is not enough,Haste makes waste.,-0.7899958491325378,-0.800716757774353,-0.33766040205955505,0.6705234050750732,0.8175318241119385,0.9823198914527893,1.0,0.0
叶落归根,Falling leaves settle on their roots,Leaves fall back to their roots,Return to one's roots,-0.6956840753555298,-0.23173962533473969,-0.3705410361289978,0.5171521306037903,0.8243401050567627,0.9744607210159302,0.0,0.0
四平八稳,Well organized,All in all,steady and reliable,-0.46679624915122986,-0.9596030712127686,-0.2714082598686218,0.6755279302597046,0.4640917479991913,0.9859606623649597,1.0,1.0
严阵以待,Stand ready in battle array,Ready for battle,Ready for action.,-0.1220163106918335,-0.03312069550156593,-0.0011355020105838776,0.737819492816925,0.8297386765480042,0.9731386303901672,0.0,0.0
泾渭不分,Make no such distinction between good and evil (or black and white),Jingwei does not distinguish,Can't tell right from wrong.,-0.6504315733909607,-0.9080086350440979,-0.33587613701820374,0.5678194165229797,0.4183586835861206,0.9589875936508179,1.0,1.0
欺世盗名,Win popularity by cheap means,Deceive the world,Gain fame through cheap tricks.,-0.4588245153427124,-0.7533915638923645,-0.504588782787323,0.78276526927948,0.5009139180183411,0.9807307124137878,1.0,1.0
嘤鸣求友,A bird sings to call forth a friend's response,Begging for friends,Seeking companionship,-0.4177895486354828,-0.3235084116458893,-0.45996028184890747,0.3955164849758148,0.44593673944473267,0.9410744905471802,0.0,0.0
萧规曹随,Follow established rules,Xiao Gui Cao Sui,Stick to established rules.,-0.7035214304924011,-0.9077671766281128,-0.5952238440513611,0.8874115347862244,0.3796679377555847,0.9855014085769653,1.0,1.0
海阔天空,Talk at random (or without reference to reality),The sky is wide,Talk nonsense.,-0.6582974791526794,0.08618238568305969,-0.38003799319267273,0.5733999013900757,0.4466688334941864,0.9611363410949707,0.0,1.0
叶公好龙,Professed love of what one really fears,Ye Gong Hao Long,He only pays lip service to it.,-0.8447379469871521,-0.7748756408691406,-0.9213572144508362,0.3913397490978241,0.2535659670829773,0.9201127290725708,0.0,1.0
四面八方,On every side,In all directions,from all directions,-0.296374648809433,-0.2760831415653229,-0.20304809510707855,0.6455038189888,0.6404845118522644,0.981088399887085,0.0,1.0
凄风苦雨,Wretched circumstances,Miserable wind and rain,in dire straits,-1.2768815755844116,0.24767650663852692,-0.4501816928386688,0.44259923696517944,0.57905513048172,0.986089289188385,0.0,0.0
藏头露尾,Speak evasively (or equivocally),Hide one's head and show one's tail,Beat around the bush.,-1.3111976385116577,-0.7494173645973206,-0.5602254271507263,0.3404267728328705,0.4005275368690491,0.9618329405784607,0.0,0.0
欺人太甚,Bully others too much,Deceiving too much,That's going too far.,-0.47955211997032166,-1.0809162855148315,-0.3559715151786804,0.5404836535453796,0.515985369682312,0.9765481948852539,1.0,1.0
藏龙卧虎,Hidden dragons and crouching tigers,Hidden Dragon Crouching Tiger,a hotbed of talent,-0.8718377947807312,-0.8860242962837219,-0.6589212417602539,0.38836973905563354,0.6401199102401733,0.9381265044212341,1.0,0.0
欺软怕硬,Bully the weak and fear the strong,Bully the soft and fear the hard,"Bully the weak, bow to the powerful.",-0.45236486196517944,-0.32249870896339417,-0.04835674539208412,0.7384124398231506,0.7554852962493896,0.9573013782501221,0.0,0.0
四体不勤，五谷不分,Can neither do physical work nor distinguish rice from wheat,"The four bodies are not diligent, and the five grains are not divided",Can't do manual labor and can't even tell wheat from rice.,-1.1078846454620361,-1.2559000253677368,-1.1136714220046997,0.7064860463142395,0.4260316491127014,0.9487219452857971,1.0,1.0
药石之言,Unpleasant but needed advice,Words of medicine stone,a bitter pill to swallow,-0.49130722880363464,-0.6929411292076111,-0.369049072265625,0.39098405838012695,0.393198162317276,0.9736512899398804,1.0,0.0
正本清源,Thoroughly overhaul,Original clear source,Get to the root of the problem.,-0.5660194754600525,-1.020790457725525,-0.6853419542312622,0.4482060670852661,0.5141575336456299,0.9817073941230774,1.0,0.0
淡然处之,Give somebody the cold shoulder,Take it lightly,Take it in stride.,-0.4659895598888397,0.10170282423496246,-0.4934134781360626,0.5189846754074097,0.5548717975616455,0.9608762264251709,0.0,0.0
四海之内皆兄弟,"""all the people of the world are brothers""",All Men Are Brothers,We're all brothers.,-0.16395160555839539,-0.18073147535324097,0.08684703707695007,0.7342693209648132,0.6272532343864441,0.9682728052139282,1.0,1.0
正颜厉色,Put on a stern countenance,Look serious and severe,Put on a stern face.,-0.5378374457359314,-0.7244247198104858,-0.4413204491138458,0.7777701616287231,0.5878875255584717,0.9723129868507385,1.0,1.0
深明大义,Be deeply conscious of the righteousness of a cause,Profound sense of justice,Recognize the justice of the cause.,-0.40099358558654785,-0.4011659324169159,-0.2383933961391449,0.6771247982978821,0.6065093874931335,0.9516465067863464,1.0,1.0
深沟高垒,Strong defence,Deep groove high base,impregnable defenses,-0.8550627827644348,-0.5474838018417358,-0.36092302203178406,0.5089966654777527,0.38320234417915344,0.976740300655365,0.0,1.0
虎背熊腰,Stalwart men,Tiger's back and bear's waist,"big, burly men",-1.409739375114441,-0.6997207999229431,-1.4783142805099487,0.5320661067962646,0.38344499468803406,0.9858314394950867,0.0,1.0
四通八达,Extend (lead or communicate) in all directions,Extending in all directions,Reach out in all directions.,-0.4530489444732666,-0.67295241355896,-0.6478802561759949,0.6426838040351868,0.6164485812187195,0.9527249932289124,1.0,1.0
回头是岸,It is never too late to mend,Back to shore,It's never too late to mend your ways.,-0.19958031177520752,-0.2532157003879547,-0.2947992980480194,0.8523778319358826,0.4019901156425476,0.9805946946144104,1.0,1.0
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Deep in the mountains.,-0.1133476197719574,0.04273267835378647,-0.09452834725379944,0.6593864560127258,0.8208802342414856,0.9743241667747498,0.0,0.0
此地无银三百两,A guilty person gives himself away by conspicuously protesting his innocence,There is no silver three hundred taels here,You're only making yourself look guilty.,-0.8334726691246033,-0.20123256742954254,-0.3534635901451111,0.5217002630233765,0.324025422334671,0.9540446400642395,0.0,1.0
深入浅出,Explain the profound in simple terms,Explain in simple language,Explain complex ideas in simple terms.,0.08095839619636536,-0.15714772045612335,-0.04240167886018753,0.8583398461341858,0.7756614089012146,0.9638223052024841,1.0,1.0
虎口余生,A narrow escape from death,The rest of the life,a close brush with death,-0.8017076849937439,-0.9999162554740906,-0.9833258986473083,0.6507338285446167,0.4757447838783264,0.9697869420051575,1.0,1.0
回心转意,Change one's mind (or views),Change your mind,Have a change of heart.,-0.568780779838562,-0.5106092095375061,-0.7811381220817566,0.5631367564201355,0.7881218791007996,0.9638839364051819,0.0,0.0
此起彼伏,Ebb and flow,One after another,Ebb and flow,-1.2528088092803955,-0.795451283454895,-1.2528088092803955,0.9720979928970337,0.5057541728019714,0.9720979928970337,0.0,1.0
虚己以听,Listen patiently,Humility to listen,Humble yourself and listen.,-0.521769106388092,-0.3185805082321167,-0.2445545792579651,0.6586912274360657,0.613124430179596,0.9733530879020691,0.0,1.0
寸土必争,Contest every inch of land,Every inch of land matters,Fight for every inch of ground.,-0.3858390152454376,-0.4808444678783417,-0.8021321296691895,0.8121190667152405,0.8336398005485535,0.9705438017845154,1.0,0.0
三个臭皮匠，胜过一个诸葛亮,Two heads are better than one,Three cobblers are better than one Zhuge Liang,Two heads are better than one.,-0.6330501437187195,-0.31793174147605896,-0.6176390647888184,0.9401281476020813,0.486909419298172,0.969302237033844,0.0,1.0
点石成金,Touch a stone and turn it into gold,Turn stone into gold,Turn something into gold.,-0.7953255772590637,-0.4195331931114197,-0.6970298886299133,0.8132394552230835,0.8656477332115173,0.9684228897094727,0.0,0.0
黑云压城城欲摧,The city might crumble under the mass of dark clouds,Dark clouds overwhelm the city,Dark clouds loom over the city.,0.4158749282360077,0.5430094599723816,0.16483718156814575,0.7422078251838684,0.7720289826393127,0.966068685054779,0.0,0.0
寸步难行,Cannot walk (or move) a single step,Hard to move,Can't budge an inch.,-0.6560807228088379,-0.3854323625564575,-0.38468480110168457,0.6481830477714539,0.6399859189987183,0.9686019420623779,0.0,1.0
三头六臂,With three heads and six arms - superhuman,Three heads and six arms,like a superhero,-1.1947730779647827,-0.49692901968955994,-0.6298813819885254,0.4943595230579376,0.785323441028595,0.9605942368507385,0.0,0.0
点金成铁,Turn gold into iron,Touch gold into iron,turn treasure into trash,-0.7703695297241211,-1.0802332162857056,-0.7478582262992859,0.6972414255142212,0.8414009809494019,0.9886391162872314,1.0,0.0
黔驴技穷,At one's wits' end,Guizhou donkey is poor,At one's wits' end.,-1.063616156578064,-0.9925814270973206,-1.0303179025650024,0.9393375515937805,0.29990625381469727,0.96891850233078,0.0,1.0
将功补过,Make up for one's faults by good deeds,Make up for,Make amends.,-0.46161869168281555,-1.1470874547958374,-0.3675173223018646,0.49140265583992004,0.3729154169559479,0.9541100859642029,1.0,1.0
鼎足之势,A situation dominated by three powerful rivals,The momentum of the tripod,a three-way balance of power,-0.34559279680252075,-0.9565510153770447,-0.015328992158174515,0.6294525265693665,0.4259486794471741,0.9750213027000427,1.0,1.0
尊师重道,Honor the teacher and respect his teachings,Respect for teachers,Honor your teachers and their teachings.,-0.4822518229484558,-0.5680390000343323,-0.1930088996887207,0.8745234608650208,0.7091384530067444,0.9655762314796448,1.0,1.0
将欲取之，必先予之,"In order to take, one must first give","If you want to take it, you must first give it",You have to give before you can take.,-0.906345546245575,-0.918868362903595,-0.6935107111930847,0.8058773875236511,0.7738234400749207,0.9632746577262878,1.0,1.0
封官许愿,Promise high posts and other favors,Make a wish,Promise high office and favors.,-0.7755811810493469,-0.8596456050872803,-0.7987796664237976,0.7734453082084656,0.4481806457042694,0.9661034941673279,1.0,1.0
鼠窃狗盗,Play petty tricks on the sly,Rat and dog thief,"to pull petty, sneaky stunts",-1.3554304838180542,-0.7373700737953186,-1.1163238286972046,0.555592954158783,0.455705851316452,0.9394762516021729,0.0,1.0
齐头并进,Advance side by side,Go hand in hand,Move forward together.,-0.24053797125816345,-0.5216533541679382,-0.43738484382629395,0.6489855051040649,0.5441542267799377,0.9831979870796204,1.0,1.0
三人行必有我师,"If three of us are walking together, there will certainly be a teacher for me",Threesome must have my teacher,You can learn something from everyone.,-0.8170124888420105,-1.2452346086502075,-0.9854260087013245,0.4966430962085724,0.40323272347450256,0.9374837279319763,1.0,1.0
龙潭虎穴,Dangerous places,Longtan Tiger Cave,a perilous place,-0.5823984742164612,-0.05967896059155464,-0.6172059774398804,0.8208680748939514,0.49247467517852783,0.976749837398529,0.0,1.0
三天打鱼，两天晒网,Lack of perseverance,"Three days of fishing, two days of netting",In fits and starts.,-1.059360146522522,-0.5973057150840759,-1.1696866750717163,0.37404361367225647,0.38977962732315063,0.9690165519714355,0.0,0.0
寻死觅活,Repeatedly attempt suicide (in order to threaten),Looking for life,keep threatening to kill themselves,-1.0064442157745361,-0.6220410466194153,-1.040849208831787,0.6619724631309509,0.3609040081501007,0.943872332572937,0.0,1.0
寻章摘句,Write in clichés without originality,Chapter search excerpt,rely on tired clichés,-0.7232384085655212,-0.8685590028762817,-0.7160366773605347,0.6337284445762634,0.4979586899280548,0.9541367888450623,1.0,1.0
三顾茅庐,Repeated a whole-hearted invitation,San Gu thatched cottage,to go to great lengths to recruit someone,-1.1794720888137817,-1.2358077764511108,-1.2877423763275146,0.43657949566841125,0.38090503215789795,0.9621374011039734,1.0,1.0
寸金难买寸光阴,Time is more precious than gold,An inch of gold is hard to buy an inch of time,You can't buy time.,-0.9818980693817139,-1.0177478790283203,-0.3689526319503784,0.6136199831962585,0.5270446538925171,0.9771239161491394,1.0,1.0
龙腾虎跃,A scene of bustling activity,Dragon and Tiger Leap,a hive of activity,-1.0823792219161987,-0.8807851672172546,-0.8439022302627563,0.6556777954101562,0.38618674874305725,0.9591829180717468,0.0,1.0
对牛弹琴,Talk over people's heads,Play the piano to the cow,You're talking over their heads.,-0.9255059361457825,-0.48615434765815735,-0.7860128283500671,0.755978524684906,0.3832102119922638,0.958082377910614,0.0,1.0
对症下药,Administer medicine according to the diagnosis,Prescribe the right medicine,Use the right remedy.,-0.481547474861145,-0.46819114685058594,-0.310539186000824,0.6044758558273315,0.7595059275627136,0.9627500772476196,0.0,0.0
小不忍则乱大谋,Lack of forbearance in small matters upsets great plans,A small leak will sink a great ship,Don't let small annoyances derail big plans.,-0.5616781115531921,-0.788745105266571,-0.5845361351966858,0.658610999584198,0.5545914769172668,0.9536065459251404,1.0,1.0
三十六计，走为上策,The best thing to do now is to quit,"Thirty-six strategies, walking is the best policy",It's best to cut your losses and walk away.,-0.9720409512519836,-0.755595862865448,-0.653414785861969,0.5223730802536011,0.4620967209339142,0.9626668095588684,0.0,1.0
三生有幸,Consider oneself most fortunate (to make somebody's acquaintance),Sansheng is lucky,I'm truly honored to meet you.,-0.6850677132606506,-0.2827012240886688,-0.6482255458831787,0.5977198481559753,0.4334058165550232,0.9604989290237427,0.0,1.0
小手小脚,Timid,Small hands and feet,a shrinking violet,-1.3123103380203247,-0.4355580806732178,-1.1623276472091675,0.386278361082077,0.4483638107776642,0.9866388440132141,0.0,0.0
问道于盲,Blind leading the blind,Ask the blind,It's the blind leading the blind.,-0.5221942067146301,-0.1203036904335022,-0.40348008275032043,0.7522355914115906,0.6829620003700256,0.9680973887443542,0.0,1.0
三令五申,Repeated orders and instructions,Three orders and five applications,to repeatedly issue orders,-0.8912938237190247,-0.5303842425346375,-0.6579276919364929,0.6382417678833008,0.5390873551368713,0.9678375124931335,0.0,1.0
小丑跳梁,A contemptible wretch making trouble,Clown jumping beam,a troublemaking clown,-0.4767906069755554,-0.2283027172088623,-0.7283175587654114,0.6834383606910706,0.4145418107509613,0.9657033681869507,0.0,1.0
三句话不离本行,Talk shop a the time,Three words stay with us,Can't stop talking shop.,-1.0854755640029907,-1.0115244388580322,-1.560663104057312,0.5301420092582703,0.46380987763404846,0.97076016664505,0.0,1.0
少不更事,Young and little-experienced,Less is more,wet behind the ears,-1.0067871809005737,-0.7129499912261963,-1.0253918170928955,0.37251341342926025,0.4731489419937134,0.9738786816596985,0.0,0.0
三长两短,"Something unfortunate, especially death",Three long and two short,an untimely death,-0.8102902173995972,-0.421689510345459,-0.8215247988700867,0.6429884433746338,0.3244096636772156,0.9686751365661621,0.0,1.0
小试锋芒,Display only a small part of one's talent,Small test edge,Give a glimpse of one's talent,-0.4582529664039612,-0.9611650705337524,-0.5537614822387695,0.761360764503479,0.4772980511188507,0.9633480310440063,1.0,1.0
尺短寸长,Everyone has his strong and weak points,Short size long,Everyone has their strengths and weaknesses.,-0.30002155900001526,-0.88047856092453,-0.3914490044116974,0.8894466161727905,0.3526999056339264,0.9721707701683044,1.0,1.0
少头无尾,Unfinished,Little head and no tail,Left unfinished,-1.1150189638137817,-0.7852836847305298,-0.9461490511894226,0.8573988080024719,0.34671929478645325,0.9841089844703674,0.0,1.0
居安思危,Maintain vigilance in peace time,Be prepared for danger,Stay vigilant in peacetime.,0.13740435242652893,-0.20864638686180115,0.1590418517589569,0.8867512345314026,0.5677529573440552,0.9690150022506714,1.0,1.0
尾大不掉,(of an organization) too cumbersome to be effective,The tail is too big,It's become too unwieldy to be effective.,-1.0291218757629395,-1.035728931427002,-1.130062222480774,0.6363270282745361,0.45884910225868225,0.9430385231971741,1.0,1.0
稍安勿躁,Don't be impatient,Don't be restless,Hold your horses.,-0.6507368683815002,-0.022651836276054382,-0.39330238103866577,0.35937756299972534,0.6948816776275635,0.9833382368087769,0.0,0.0
少壮不努力，老大徒伤悲,Laziness in youth spells regret in old age,"Young idler, an old beggar","If you waste your youth, you'll regret it in old age.",-0.47789230942726135,-1.1429475545883179,-0.5820398330688477,0.6142802834510803,0.39234256744384766,0.9631752371788025,1.0,1.0
屈打成招,Confess to false charges under torture,Bend into a trick,Beaten into a confession.,-1.1137802600860596,-1.1811524629592896,-0.9285270571708679,0.6036291718482971,0.42755982279777527,0.9622538685798645,1.0,1.0
山穷水尽,"At the end of one's rope (means, tether or resources)",The mountains and rivers are exhausted,At the end of one's rope.,-1.537329077720642,-0.8326378464698792,-1.4690076112747192,0.6213420629501343,0.46528810262680054,0.9032459855079651,0.0,1.0
层出不穷,(of good deeds) spring up one after another,Emerge in endlessly,Good deeds keep springing up.,-0.5179525017738342,-0.8202539086341858,-0.6619133353233337,0.8281742334365845,0.46245911717414856,0.9591205716133118,1.0,1.0
山雨欲来风满楼,The turbulent wind precedes the mountain storm,"The rain is coming, the wind is filling the building",A storm is brewing.,-0.49992164969444275,-0.30137065052986145,-0.5274502635002136,0.6364380717277527,0.616240918636322,0.9682655334472656,0.0,1.0
巧立名目,Concoct various pretexts,Create a name,Make up all kinds of excuses.,-0.27201035618782043,-0.748003363609314,-0.0908876359462738,0.7769321203231812,0.5165974497795105,0.9836050868034363,1.0,1.0
山高水长,High as mountains and long as rivers - one's nobility or reputation lasts forever,High mountains and long waters,A reputation that will stand the test of time.,-0.5726246237754822,0.009403988718986511,-0.4423166811466217,0.49966415762901306,0.5635015964508057,0.9376571774482727,0.0,0.0
巧妇难为无米之炊,You can't make something out of nothing,Make bricks without straw,You can't make something out of nothing.,-0.8556713461875916,-1.104220986366272,-0.8569547533988953,0.9339502453804016,0.42118480801582336,0.9622964262962341,1.0,1.0
川流不息,Uninterrupted flow,The flow is endless,A steady stream,-0.502055823802948,-0.3471897542476654,-0.3152472972869873,0.7259728908538818,0.7627742886543274,0.9842208623886108,0.0,0.0
差之毫厘，谬以千里,One false move may lose the game,The difference is a thousand miles away,A tiny mistake can have huge consequences.,-0.03895961120724678,-0.6933203339576721,-0.44861307740211487,0.7045660614967346,0.482713520526886,0.9584729075431824,1.0,1.0
师直为壮,An army fighting for a just cause has high morale,Teachers are strong,Soldiers fighting for a just cause have high morale.,-0.43075045943260193,-0.8069352507591248,-0.5793368220329285,0.8756427764892578,0.4643707275390625,0.9552258849143982,1.0,1.0
席不暇暖,Be constantly on the go,Can't wait to get warm,have no time to rest,-0.8272136449813843,-0.7526708245277405,-0.9372026920318604,0.5029880404472351,0.3831450045108795,0.9676446914672852,0.0,1.0
左道旁门,Heresy,Left side door,Heresy.,-0.7902776002883911,-0.890256941318512,-0.7336946129798889,0.9217672348022461,0.4897114932537079,0.9818853735923767,1.0,1.0
平步青云,Have a meteoric rise,Step into the sky,shoot to the top,-1.0200763940811157,-1.102615475654602,-0.9480136632919312,0.574480414390564,0.535709798336029,0.9629247188568115,1.0,1.0
平地一声雷,A sudden big change,Thunder on the ground,A bolt from the blue.,-0.5813083052635193,0.02180173434317112,-0.18737711012363434,0.5514584183692932,0.5924670100212097,0.9751991033554077,0.0,0.0
左右开弓,Box somebody on both ears,Bow left and right,Box someone's ears.,-0.9762952923774719,-0.8588350415229797,-0.8262160420417786,0.6026487350463867,0.4462260901927948,0.9582157135009766,0.0,1.0
度日如年,One day seems to be as long as one year,Days are like years,Each day feels like a year.,-0.8319980502128601,-0.620015025138855,-0.8990135192871094,0.7634254097938538,0.6868963241577148,0.9547117948532104,0.0,1.0
年高德劭,Of venerable age and eminent virtue,Nian Gaode Shao,venerable and virtuous,-0.774467408657074,-0.8770788908004761,-0.5069493651390076,0.785460352897644,0.27778661251068115,0.9708505272865295,1.0,1.0
年深日久,With the passage of time,Years go by,Over time.,-0.6295978426933289,-0.3731135427951813,-0.4194033741950989,0.6966850161552429,0.6112287640571594,0.9662929177284241,0.0,1.0
平起平坐,Sit as equals at the same table with,Sit on an equal footing,Sit as equals.,-0.5222554802894592,-0.16179704666137695,-0.5698502063751221,0.7067737579345703,0.5762609839439392,0.9417790770530701,0.0,1.0
弱肉强食,The weak at the mercy of the strong,The strong eat the weak,The strong prey on the weak.,-0.4233700633049011,-0.38315296173095703,-0.28997617959976196,0.7235931754112244,0.7041736245155334,0.9479286670684814,0.0,1.0
平分秋色,"(of two parties) have equal shares (of honor, power, glory, etc.)",Have equal shares,be evenly matched,-0.7561950087547302,-0.6829887628555298,-0.9172764420509338,0.4202040731906891,0.5428999662399292,0.9273386597633362,0.0,0.0
